,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
104,2018,9583,1523,Danilo D&#039;Ambrosio,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,2018,9595,1523,Danilo D&#039;Ambrosio,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144951893016695,0.0,0.0144951893016695,0.0
455,2018,9598,1523,Danilo D&#039;Ambrosio,a,DR,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0475234417244791,0.0,0.0475234417244791,0.0
654,2018,9611,1523,Danilo D&#039;Ambrosio,h,DR,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4386879531666635,0.0,0.4386879531666635,0.0
998,2018,9624,1523,Danilo D&#039;Ambrosio,a,DR,338.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4386879531666635,0.0,-0.06131204683333652,0.0
1154,2018,9631,1523,Danilo D&#039;Ambrosio,h,DR,428.0,0.0,0.0,1.0,1.0,0.0,0.0483455695211887,0.48742829542607047,0.0,0.13246500398963668,0.0
1438,2018,9644,1523,Danilo D&#039;Ambrosio,h,DR,518.0,1.0,0.0,3.0,1.0,0.0,0.5394668020308017,0.6954732565209267,3.0,1.813873662613332,3.0
2369,2018,9680,1523,Danilo D&#039;Ambrosio,h,DR,608.0,1.0,0.0,4.0,1.0,0.0,0.5601798258721826,0.7506929552182552,3.0,1.9312324328348038,0.0
2685,2018,9687,1523,Danilo D&#039;Ambrosio,a,DR,698.0,1.0,0.0,4.0,2.0,0.0,0.5601798258721826,0.7833953378722068,3.0,1.4639348154887555,0.0
2857,2018,9701,1523,Danilo D&#039;Ambrosio,h,DR,788.0,1.0,0.0,4.0,2.0,0.0,0.5601798258721826,0.8462885795161125,3.0,1.5268280571326611,0.0
3235,2018,9716,1523,Danilo D&#039;Ambrosio,a,DR,878.0,1.0,0.0,5.0,2.0,0.0,0.5827083662152287,0.9060841118916866,3.0,1.6542092105373738,0.0
3920,2018,9743,1523,Danilo D&#039;Ambrosio,a,DL,968.0,1.0,1.0,5.0,2.0,0.0,0.5827083662152287,1.8036495959386225,4.0,2.55177469458431,1.0
4163,2018,9752,1523,Danilo D&#039;Ambrosio,h,DR,1058.0,1.0,2.0,5.0,2.0,0.0,0.5827083662152287,2.682526997290551,5.0,3.4306520959362388,1.0
4464,2018,9771,1523,Danilo D&#039;Ambrosio,h,DR,1148.0,1.0,2.0,5.0,2.0,0.0,0.5827083662152287,2.682526997290551,5.0,3.4306520959362388,0.0
4820,2018,9781,1523,Danilo D&#039;Ambrosio,a,MR,1238.0,1.0,2.0,5.0,2.0,0.0,0.5827083662152287,3.1912327921018,5.0,3.9393578907474875,0.0
5182,2018,9803,1523,Danilo D&#039;Ambrosio,a,DR,1328.0,1.0,2.0,6.0,3.0,0.0,0.6027895435690876,3.1912327921018,5.0,3.4996014228090644,0.0
5493,2018,9811,1523,Danilo D&#039;Ambrosio,h,DR,1418.0,1.0,2.0,6.0,3.0,0.0,0.6027895435690876,3.1912327921018,5.0,3.4996014228090644,0.0
5759,2018,9819,1523,Danilo D&#039;Ambrosio,a,DR,1508.0,2.0,2.0,8.0,4.0,0.0,1.4001112207770343,3.1912327921018,8.0,5.391566454432905,3.0
5781,2018,9831,1523,Danilo D&#039;Ambrosio,a,DR,1598.0,2.0,3.0,8.0,4.0,0.0,1.4001112207770343,3.2132235029712315,9.0,5.413557165302336,1.0
6451,2018,9856,1523,Danilo D&#039;Ambrosio,a,DR,1688.0,2.0,3.0,9.0,4.0,0.0,1.4954958185553546,3.2838989282026882,9.0,5.770386383868754,0.0
6675,2018,9861,1523,Danilo D&#039;Ambrosio,h,DR,1778.0,2.0,3.0,9.0,4.0,0.0,1.4954958185553546,3.49003975931555,9.0,5.9765272149816155,0.0
6801,2018,9871,1523,Danilo D&#039;Ambrosio,a,DR,1859.0,2.0,3.0,9.0,4.0,0.0,1.4954958185553546,3.49003975931555,9.0,5.9765272149816155,0.0
7071,2018,9880,1523,Danilo D&#039;Ambrosio,h,DR,1949.0,2.0,3.0,9.0,4.0,0.0,1.4954958185553546,3.49003975931555,9.0,5.9765272149816155,0.0
7360,2018,9890,1523,Danilo D&#039;Ambrosio,a,DR,2039.0,2.0,3.0,9.0,4.0,0.0,1.4954958185553546,3.49003975931555,9.0,5.9765272149816155,0.0
7602,2018,9906,1523,Danilo D&#039;Ambrosio,h,DR,2129.0,2.0,4.0,9.0,4.0,0.0,1.4954958185553546,3.8494189018383618,10.0,6.335906357504427,1.0
7692,2018,9907,1523,Danilo D&#039;Ambrosio,h,DR,2219.0,2.0,5.0,12.0,4.0,0.0,1.8265737220644946,4.175860875286162,11.0,7.655582041479647,1.0
7937,2018,9921,1523,Danilo D&#039;Ambrosio,a,DR,2309.0,2.0,5.0,13.0,4.0,0.0,1.882081031799316,4.175860875286162,11.0,7.822103970684111,0.0
8541,2018,9946,1523,Danilo D&#039;Ambrosio,a,DR,2399.0,2.0,5.0,14.0,5.0,0.0,1.9952844679355617,5.608013623394072,11.0,9.093867027200758,0.0
8708,2018,9952,1523,Danilo D&#039;Ambrosio,h,DR,2489.0,2.0,5.0,15.0,5.0,0.0,2.098424538969993,5.7042403081431985,11.0,9.49951392505318,0.0
