,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
48,2018,9579,3387,Nicolas N&#039;Koulou,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,2018,9595,3387,Nicolas N&#039;Koulou,a,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,2018,9606,3387,Nicolas N&#039;Koulou,h,DC,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0174714550375938,0.0,0.0174714550375938,0.0
814,2018,9616,3387,Nicolas N&#039;Koulou,a,DC,270.0,1.0,0.0,1.0,0.0,0.0,0.374939352273941,0.0174714550375938,3.0,1.142289511859417,3.0
1012,2018,9626,3387,Nicolas N&#039;Koulou,h,DC,360.0,1.0,0.0,1.0,0.0,0.0,0.374939352273941,0.0174714550375938,3.0,1.142289511859417,0.0
1217,2018,9627,3387,Nicolas N&#039;Koulou,a,DC,450.0,1.0,0.0,1.0,0.0,0.0,0.374939352273941,0.0174714550375938,3.0,1.142289511859417,0.0
1499,2018,9641,3387,Nicolas N&#039;Koulou,a,DC,540.0,1.0,0.0,1.0,0.0,0.0,0.374939352273941,0.0174714550375938,3.0,1.142289511859417,0.0
1631,2018,9655,3387,Nicolas N&#039;Koulou,h,DC,630.0,1.0,0.0,1.0,1.0,0.0,0.374939352273941,0.0174714550375938,3.0,0.642289511859417,0.0
1968,2018,9657,3387,Nicolas N&#039;Koulou,a,DC,720.0,1.0,0.0,2.0,1.0,0.0,0.8915106952190399,0.0174714550375938,3.0,2.1920035406947136,0.0
2138,2018,9675,3387,Nicolas N&#039;Koulou,h,DC,810.0,1.0,0.0,2.0,1.0,0.0,0.8915106952190399,0.0174714550375938,3.0,2.1920035406947136,0.0
2525,2018,9685,3387,Nicolas N&#039;Koulou,a,DC,900.0,1.0,0.0,2.0,1.0,0.0,0.8915106952190399,0.0174714550375938,3.0,2.1920035406947136,0.0
2602,2018,9695,3387,Nicolas N&#039;Koulou,h,DC,990.0,1.0,0.0,2.0,1.0,0.0,0.8915106952190399,0.0174714550375938,3.0,2.1920035406947136,0.0
3031,2018,9698,3387,Nicolas N&#039;Koulou,a,DC,1080.0,1.0,0.0,2.0,1.0,0.0,0.8915106952190399,0.0174714550375938,3.0,2.1920035406947136,0.0
