,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
798,2018,9612,1476,Cristian Dell&#039;Orco,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4129,2018,9753,1476,Cristian Dell&#039;Orco,a,DL,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3040019571781158,1.0,0.3040019571781158,1.0
5115,2018,9801,1476,Cristian Dell&#039;Orco,a,DC,105.0,0.0,1.0,1.0,0.0,0.0,0.0231847930699586,0.3040019571781158,1.0,0.3735563363879918,0.0
5422,2018,9809,1476,Cristian Dell&#039;Orco,h,DC,195.0,0.0,1.0,1.0,0.0,0.0,0.0231847930699586,0.3040019571781158,1.0,0.3735563363879918,0.0
5576,2018,9822,1476,Cristian Dell&#039;Orco,a,DC,285.0,0.0,1.0,1.0,0.0,0.0,0.0231847930699586,0.3040019571781158,1.0,0.3735563363879918,0.0
5793,2018,9832,1476,Cristian Dell&#039;Orco,h,DC,375.0,0.0,1.0,1.0,0.0,0.0,0.0231847930699586,0.3141651786863803,1.0,0.3837195578962563,0.0
6221,2018,9844,1476,Cristian Dell&#039;Orco,a,DC,465.0,1.0,1.0,2.0,0.0,0.0,0.5810319948941468,0.3141651786863803,4.0,2.057261163368821,3.0
6367,2018,9849,1476,Cristian Dell&#039;Orco,h,DC,555.0,1.0,1.0,4.0,0.0,0.0,0.6754688564687966,0.3141651786863803,4.0,2.3405717480927706,0.0
6522,2018,9862,1476,Cristian Dell&#039;Orco,a,DC,645.0,1.0,1.0,4.0,0.0,0.0,0.6754688564687966,0.5400764532387254,4.0,2.566483022645116,0.0
7383,2018,9887,1476,Cristian Dell&#039;Orco,a,DC,735.0,1.0,1.0,4.0,0.0,0.0,0.6754688564687966,0.5400764532387254,4.0,2.566483022645116,0.0
7489,2018,9899,1476,Cristian Dell&#039;Orco,h,DML,825.0,1.0,1.0,4.0,1.0,0.0,0.6754688564687966,0.5400764532387254,4.0,2.066483022645116,0.0
8222,2018,9929,1476,Cristian Dell&#039;Orco,a,DC,874.0,1.0,1.0,4.0,1.0,0.0,0.6754688564687966,0.6201578713953493,4.0,2.1465644408017397,0.0
8440,2018,9938,1476,Cristian Dell&#039;Orco,h,DC,964.0,1.0,1.0,4.0,1.0,0.0,0.6754688564687966,0.6201578713953493,4.0,2.1465644408017397,0.0
8722,2018,9952,1476,Cristian Dell&#039;Orco,a,DC,1054.0,1.0,1.0,4.0,1.0,0.0,0.6754688564687966,0.6201578713953493,4.0,2.1465644408017397,0.0
