id,isResult,side,h,a,goals,xG,datetime,forecast,result
9857,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '1'}","{'h': '2.03348', 'a': '0.712006'}",2019-03-31 16:00:00,"{'w': 0.6831368659610869, 'd': 0.19678133664694875, 'l': 0.12008179257827166}",w
9867,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '4', 'a': '1'}","{'h': '1.57662', 'a': '1.12985'}",2019-04-04 20:00:00,"{'w': 0.47678402535506276, 'd': 0.2504251685328145, 'l': 0.2727908059484906}",l
9877,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '3', 'a': '0'}","{'h': '3.1019', 'a': '0.672578'}",2019-04-08 19:30:00,"{'w': 0.8472415121846574, 'd': 0.1024087751364432, 'l': 0.0503487057968162}",w
9889,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '0', 'a': '0'}","{'h': '0.792762', 'a': '0.145765'}",2019-04-14 14:00:00,"{'w': 0.4973505144024108, 'd': 0.4377328219822616, 'l': 0.06491666361531612}",d
9897,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '3', 'a': '0'}","{'h': '0.999562', 'a': '0.638254'}",2019-04-20 14:00:00,"{'w': 0.4319187323476466, 'd': 0.3396697916656662, 'l': 0.22841147598638858}",w
9913,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '3', 'a': '1'}","{'h': '1.55302', 'a': '0.353443'}",2019-04-27 14:00:00,"{'w': 0.6771365029552561, 'd': 0.24207514466274233, 'l': 0.08078835224995029}",w
9924,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '2', 'a': '1'}","{'h': '1.25154', 'a': '1.26196'}",2019-05-06 19:30:00,"{'w': 0.36292792274342955, 'd': 0.2691892674574462, 'l': 0.36788280978455434}",l
9931,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '4', 'a': '1'}","{'h': '1.84615', 'a': '0.572389'}",2019-05-13 18:00:00,"{'w': 0.6811725931171233, 'd': 0.21113377981432677, 'l': 0.10769362572406498}",w
9941,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '3', 'a': '3'}","{'h': '1.84382', 'a': '2.57708'}",2019-05-20 18:30:00,"{'w': 0.2742339681134366, 'd': 0.18581202526572496, 'l': 0.5399539037719957}",d
9948,True,h,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '3', 'a': '2'}","{'h': '0.939859', 'a': '1.7979'}",2019-05-25 13:00:00,"{'w': 0.19437393744529002, 'd': 0.22991934365749123, 'l': 0.5757067179518688}",w
