id,isResult,side,h,a,goals,xG,datetime,forecast,result
3601,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '0'}","{'h': '1.02606', 'a': '0.613891'}",2017-02-26 14:00:00,"{'w': 0.4473624520640923, 'd': 0.33682432702074233, 'l': 0.21581322091473376}",w
3607,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '2'}","{'h': '0.374856', 'a': '2.01601'}",2017-03-05 19:45:00,"{'w': 0.05830097917865646, 'd': 0.17495838054844975, 'l': 0.7667406359743235}",w
3620,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '3', 'a': '1'}","{'h': '2.17289', 'a': '0.438121'}",2017-03-13 19:45:00,"{'w': 0.7769368067571423, 'd': 0.16190687493331465, 'l': 0.061156306876210244}",w
3627,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '0'}","{'h': '0.138994', 'a': '0.885969'}",2017-03-19 14:00:00,"{'w': 0.056788761052281804, 'd': 0.4043741949051558, 'l': 0.538837044042508}",d
3638,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '2'}","{'h': '1.31718', 'a': '1.01814'}",2017-04-01 17:00:00,"{'w': 0.43452069859269327, 'd': 0.27713959390072607, 'l': 0.2883397074922871}",w
3646,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '3'}","{'h': '1.13869', 'a': '2.11338'}",2017-04-09 19:45:00,"{'w': 0.1977417760120916, 'd': 0.2052958637267812, 'l': 0.5969623522924136}",l
3658,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '2'}","{'h': '1.59986', 'a': '2.40716'}",2017-04-15 14:00:00,"{'w': 0.25128193245840924, 'd': 0.19266012448801087, 'l': 0.5560579001294296}",d
3669,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'h': '6', 'a': '2'}","{'h': '3.19271', 'a': '0.602485'}",2017-04-23 14:00:00,"{'w': 0.8680726030021404, 'd': 0.09153216110977984, 'l': 0.04039380869254097}",w
3675,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '3'}","{'h': '1.61422', 'a': '1.87267'}",2017-04-30 11:30:00,"{'w': 0.33628752647679255, 'd': 0.22147611081057683, 'l': 0.4422363608652794}",w
3690,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '7', 'a': '3'}","{'h': '4.24325', 'a': '1.71959'}",2017-05-07 14:00:00,"{'w': 0.7990664902911555, 'd': 0.10057696126510283, 'l': 0.10031791589604473}",w
3696,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '3', 'a': '2'}","{'h': '1.47066', 'a': '0.869153'}",2017-05-13 17:00:00,"{'w': 0.512649883556949, 'd': 0.264910899643648, 'l': 0.2224392167363956}",l
3707,True,h,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '3'}","{'h': '1.14821', 'a': '1.58862'}",2017-05-21 19:45:00,"{'w': 0.27538354140711585, 'd': 0.24907151039378114, 'l': 0.47554494801755987}",l
3716,True,a,"{'id': '115', 'title': 'Crotone', 'short_title': 'CRO'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '3', 'a': '1'}","{'h': '0.993998', 'a': '1.09216'}",2017-05-28 19:45:00,"{'w': 0.32461658006289285, 'd': 0.30026378685608934, 'l': 0.3751196330797092}",l
