goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,35,Sub,Sampdoria,Verona,1,1,2015-04-29,4879,2014,56019,0.01486709900200367,0,1,0,0,0.05095149204134941,0.03608439117670059
0,0,0,55,DR,Lazio,Verona,2,0,2015-03-22,4913,2014,54697,0,0,0,0,0,0,0
0,0,0,3,Sub,Verona,Napoli,2,0,2015-03-15,4904,2014,54247,0,0,0,0,0,0,0
0,0,0,82,DMR,Palermo,Verona,2,1,2015-02-01,4924,2014,52167,0,0,0,0,0,0.14795494079589844,0.14795494079589844
0,0,0,19,Sub,Verona,Atalanta,1,0,2015-01-25,4990,2014,51799,0,0,0,0,0,0.03343041613698006,0.03343041613698006
0,0,0,90,DR,Juventus,Verona,4,0,2015-01-18,4986,2014,51302,0,0,0,0,0,0.0340445339679718,0.0340445339679718
0,0,0,83,DMR,Verona,Parma,3,1,2015-01-11,4973,2014,51735,0.12996716797351837,0,1,0,0,0.12996716797351837,0
0,0,0,90,DR,Empoli,Verona,0,0,2015-01-06,4962,2014,51219,0,0,0,0,0,0.3477695882320404,0.3477695882320404
0,0,0,43,DMR,Verona,Chievo,0,1,2014-12-21,5024,2014,50765,0.1837208867073059,0,2,0,0,0.2525506913661957,0.14158518612384796
0,0,0,74,DR,Udinese,Verona,1,2,2014-12-14,5015,2014,50665,0,0,0,0,0,0.18448393046855927,0.18448393046855927
0,0,0,90,DR,Inter,Verona,2,2,2014-11-09,5048,2014,49412,0,0,0,0,0,0.1593572348356247,0.1593572348356247
0,0,0,47,DR,Verona,Lazio,1,1,2014-10-30,5108,2014,48840,0,0,0,0,0,0,0
0,0,0,90,DR,Napoli,Verona,6,2,2014-10-26,5095,2014,48631,0.052515313029289246,1,1,0,0,0.052515313029289246,0
0,1,0.07103993743658066,50,DR,Verona,Genoa,2,2,2014-09-24,5131,2014,47416,0,0,0,0,0.07103993743658066,0,0
0,0,0,90,DR,Verona,Palermo,2,1,2014-09-15,5118,2014,46858,0.012830541469156742,0,1,0,0,0.5482446551322937,0.5482446551322937
0,0,0,90,DR,Atalanta,Verona,0,0,2014-08-31,5151,2014,46510,0,0,0,0,0,0.1258668452501297,0.1258668452501297
