goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,70,MC,Lazio,Roma,1,2,2015-05-25,4818,2014,57018,0.010591004975140095,0,1,0,0,0,0
0,0,0,14,Sub,Roma,Udinese,2,1,2015-05-17,4806,2014,56198,0,0,0,0,0,0.23919877409934998,0.23919877409934998
0,0,0,10,Sub,Sassuolo,Roma,0,3,2015-04-29,4872,2014,56493,0,0,0,0,0,0.09288355708122253,0.09288355708122253
0,1,0.014085091650485992,37,Sub,Inter,Roma,2,1,2015-04-25,4862,2014,55237,0,0,0,0,0.014085091650485992,0.014085091650485992,0.014085091650485992
0,0,0,33,Sub,Roma,Atalanta,1,1,2015-04-19,4857,2014,54611,0.05854065343737602,0,2,0,0,0.03660517558455467,0.03660517558455467
0,2,0.02385812997817993,83,MC,Roma,Sampdoria,0,2,2015-03-16,4908,2014,54355,0.04992528632283211,0,1,0,0.02385812997817993,0.4358351230621338,0.42554497718811035
0,0,0,90,MC,Chievo,Roma,0,0,2015-03-08,4892,2014,53754,0,0,0,0,0,0.023217378184199333,0.023217378184199333
1,2,0.14509397745132446,90,MC,Roma,Juventus,1,1,2015-03-02,4888,2014,52989,0,0,0,1,0.14509397745132446,0.02766815945506096,0.01740283891558647
0,0,0,90,MC,Verona,Roma,1,1,2015-02-22,4951,2014,53475,0.04526114836335182,0,1,0,0,0.3774406611919403,0.3321795165538788
0,2,0.10337203741073608,90,MC,Roma,Parma,0,0,2015-02-15,4943,2014,53016,0.016232695430517197,0,1,0,0.10337203741073608,0.5101693868637085,0.4799032509326935
0,0,0,90,MC,Cagliari,Roma,1,2,2015-02-08,4931,2014,52529,0.3444816768169403,0,1,0,0,0.3711733818054199,0.026691732928156853
0,1,0.017292561009526253,90,MC,Roma,Empoli,1,1,2015-01-31,4998,2014,52100,0,0,0,0,0.017292561009526253,0.21482840180397034,0.19753584265708923
0,0,0,90,MC,Roma,AC Milan,0,0,2014-12-20,5023,2014,51627,0.07216718792915344,0,1,0,0,0.18769624829292297,0.11552906036376953
0,1,0.05999711528420448,90,MC,Genoa,Roma,0,1,2014-12-14,5013,2014,50504,0.09867137670516968,0,2,0,0.05999711528420448,0.4867834448814392,0.38811206817626953
0,0,0,17,Sub,Roma,Sassuolo,2,2,2014-12-06,5001,2014,50355,0,0,0,0,0,0.19788479804992676,0.19788479804992676
0,0,0,65,MC,Roma,Inter,4,2,2014-11-30,5068,2014,50043,0.03734327107667923,1,1,0,0,0.7662684321403503,0.7289251685142517
0,0,0,8,Sub,Atalanta,Roma,1,2,2014-11-22,5050,2014,49590,0,0,0,0,0,0,0
1,1,0.029491901397705078,85,MC,Roma,Torino,3,0,2014-11-09,5049,2014,49487,0,0,0,1,0.029491901397705078,0.34140393137931824,0.34140393137931824
0,0,0,90,MC,Napoli,Roma,2,0,2014-11-01,5030,2014,49167,0,0,0,0,0,0.07071875035762787,0.07071875035762787
0,0,0,90,MC,Roma,Cesena,2,0,2014-10-29,5103,2014,48930,0,0,0,0,0,1.244743824005127,1.244743824005127
0,1,0.06059707701206207,90,MC,Juventus,Roma,3,2,2014-10-05,5076,2014,47996,0,0,0,0,0.06059707701206207,0.3642018735408783,0.3642018735408783
0,1,0.010782347992062569,90,MC,Roma,Verona,2,0,2014-09-27,5139,2014,47786,0.015217747539281845,0,1,0,0.010782347992062569,0.1918778419494629,0.1918778419494629
0,0,0,90,MC,Parma,Roma,1,2,2014-09-24,5136,2014,47576,0,0,0,0,0,0.31270718574523926,0.31270718574523926
0,1,0.0928288921713829,90,MC,Roma,Cagliari,2,0,2014-09-21,5123,2014,47228,0,0,0,0,0.0928288921713829,0.6391870975494385,0.5463582277297974
0,0,0,22,Sub,Empoli,Roma,0,1,2014-09-13,5109,2014,46827,0,0,0,0,0,0,0
0,0,0,22,Sub,Roma,Fiorentina,2,0,2014-08-30,5150,2014,46674,0.07692646980285645,0,1,0,0,0.7447664737701416,0.7447664737701416
