goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,35,DMR,Palermo,Empoli,0,0,2015-03-01,4882,2014,52818,0.050609733909368515,0,1,0,0,0.5677591562271118,0.5677591562271118
0,1,0.05741395056247711,85,DMR,Lazio,Palermo,2,1,2015-02-22,4950,2014,53416,0,0,0,0,0.05741395056247711,0.1342799812555313,0.0768660381436348
0,0,0,75,DMR,Inter,Palermo,3,0,2015-02-08,4934,2014,52498,0,0,0,0,0,0.013165093027055264,0.013165093027055264
0,1,0.010141718201339245,90,DMR,Palermo,Verona,2,1,2015-02-01,4924,2014,52153,0.10909447073936462,0,1,0,0.010141718201339245,0.7924408316612244,0.7924408316612244
0,2,0.04430149868130684,90,DMR,Sampdoria,Palermo,1,1,2015-01-25,4989,2014,51945,0.065106101334095,0,1,0,0.04430149868130684,0.10619887709617615,0.030050018802285194
0,1,0.019727295264601707,90,DMR,Palermo,Roma,1,1,2015-01-17,4978,2014,51458,0.03409789502620697,0,1,0,0.019727295264601707,0.05382519215345383,0.03409789502620697
0,0,0,90,DMR,Fiorentina,Palermo,4,3,2015-01-11,4972,2014,51721,0,0,0,0,0,0,0
1,2,0.04369542747735977,90,DMR,Palermo,Cagliari,5,0,2015-01-06,4960,2014,51486,0.032623909413814545,0,1,1,0.04369542747735977,0.7567735910415649,0.7339380979537964
0,1,0.015106473118066788,90,DMR,Atalanta,Palermo,3,3,2014-12-21,5027,2014,50696,0,0,0,0,0.015106473118066788,0.015106473118066788,0
0,0,0,90,DMR,Palermo,Sassuolo,2,1,2014-12-13,5010,2014,50598,0.673254668712616,0,2,0,0,0.8067693710327148,0.20002852380275726
0,0,0,90,DMR,Torino,Palermo,2,2,2014-12-06,5002,2014,50389,0.01837852969765663,0,1,0,0,0.01837852969765663,0
0,0,0,90,DMR,Palermo,Parma,2,1,2014-11-30,5064,2014,50012,0,0,0,0,0,0.03262719139456749,0.03262719139456749
0,0,0,90,DMR,Genoa,Palermo,1,1,2014-11-24,5059,2014,49636,0.42624711990356445,0,1,0,0,0.5104020237922668,0.08415491133928299
0,0,0,90,MR,AC Milan,Palermo,0,2,2014-11-02,5037,2014,49136,0.015316514298319817,0,1,0,0,0.635419487953186,0.635419487953186
0,1,0.0492260679602623,90,MR,Palermo,Chievo,1,0,2014-10-29,5102,2014,48899,0,0,0,0,0.0492260679602623,0.14520969986915588,0.09598363190889359
0,1,0.09616260975599289,90,DMR,Palermo,Cesena,2,1,2014-10-19,5082,2014,48343,0.030995868146419525,0,1,0,0.09616260975599289,0.4777214527130127,0.3505629897117615
0,0,0,90,MR,Empoli,Palermo,3,0,2014-10-05,5071,2014,47909,0,0,0,0,0,0.09957358241081238,0.09957358241081238
0,0,0,90,MR,Palermo,Lazio,0,4,2014-09-29,5148,2014,47755,0,0,0,0,0,0.015463102608919144,0.015463102608919144
0,0,0,90,DMR,Napoli,Palermo,3,3,2014-09-24,5135,2014,47545,0.3924751877784729,1,1,0,0,0.44006815552711487,0.44006815552711487
0,0,0,90,DR,Palermo,Inter,1,1,2014-09-21,5128,2014,47194,0.09881382435560226,0,2,0,0,0.183088019490242,0.08427419513463974
