,season,matchId,team,homeTeam,awayTeam,goalsScored,goalsConceded,xGScored,xGConceded,time,date
0,2017,7499,Juventus,Juventus,Cagliari,0,0,0.0,0.0,0,2017-08-19 17:00:00
21,2017,7509,Juventus,Genoa,Juventus,3,0,1.27155,1.39829,90,2017-08-26 17:00:00
40,2017,7525,Juventus,Juventus,Chievo,7,2,3.40383,2.61152,180,2017-09-09 17:00:00
65,2017,7536,Juventus,Sassuolo,Juventus,10,2,4.65541,3.522185,270,2017-09-17 11:30:00
90,2017,7545,Juventus,Juventus,Fiorentina,13,3,5.73093,5.397015,360,2017-09-20 19:45:00
102,2017,7554,Juventus,Juventus,Torino,14,3,6.740959999999999,5.900802,450,2017-09-23 19:45:00
137,2017,7559,Juventus,Atalanta,Juventus,18,3,9.528279999999999,6.106395,540,2017-10-01 19:45:00
138,2017,7575,Juventus,Juventus,Lazio,20,5,12.682049999999998,7.466285,630,2017-10-14 17:00:00
173,2017,7588,Juventus,Udinese,Juventus,21,7,15.009839999999999,9.147625,720,2017-10-22 17:00:00
192,2017,7596,Juventus,Juventus,SPAL 2013,27,9,16.59867,10.429875,810,2017-10-25 19:45:00
199,2017,7602,Juventus,AC Milan,Juventus,31,10,17.850179999999998,11.339899999999998,900,2017-10-28 17:00:00
230,2017,7616,Juventus,Juventus,Benevento,33,10,18.313267,12.525179999999999,990,2017-11-05 14:00:00
245,2017,7625,Juventus,Sampdoria,Juventus,35,11,21.403927,12.640118999999999,1080,2017-11-19 14:00:00
272,2017,7634,Juventus,Juventus,Crotone,37,14,23.288697,14.478108999999998,1170,2017-11-26 19:45:00
279,2017,7645,Juventus,Napoli,Juventus,40,14,25.426757,14.618395999999999,1260,2017-12-01 19:45:00
298,2017,7652,Juventus,Juventus,Inter,41,14,26.422465,15.375010999999999,1350,2017-12-09 19:45:00
325,2017,7661,Juventus,Bologna,Juventus,41,14,27.411576,15.657808,1440,2017-12-17 14:00:00
354,2017,7672,Juventus,Juventus,Roma,44,14,28.219838,15.912187,1530,2017-12-23 19:45:00
375,2017,7684,Juventus,Verona,Juventus,45,14,30.526848,17.851147,1620,2017-12-30 19:45:00
395,2017,7694,Juventus,Cagliari,Juventus,48,15,31.991958,17.9399017,1710,2018-01-06 19:45:00
414,2017,7703,Juventus,Juventus,Genoa,49,15,33.479508,18.4854727,1800,2018-01-22 19:45:00
433,2017,7715,Juventus,Chievo,Juventus,50,15,34.883668,18.5750992,1890,2018-01-28 14:00:00
452,2017,7726,Juventus,Juventus,Sassuolo,52,15,36.032188,18.6269949,1980,2018-02-04 14:00:00
461,2017,7735,Juventus,Fiorentina,Juventus,59,15,38.695498,18.8612719,2070,2018-02-09 19:45:00
487,2017,7746,Juventus,Torino,Juventus,61,15,39.206548,19.709205899999997,2160,2018-02-18 11:30:00
521,2017,7765,Juventus,Lazio,Juventus,62,15,40.935938,19.928856899999996,2250,2018-03-03 17:00:00
538,2017,7778,Juventus,Juventus,Udinese,63,15,41.961938,20.113645899999995,2340,2018-03-11 14:00:00
544,2017,7756,Juventus,Juventus,Atalanta,65,15,44.050878000000004,20.318114899999994,2430,2018-03-14 17:00:00
549,2017,7786,Juventus,SPAL 2013,Juventus,67,15,45.718808,20.655031899999994,2520,2018-03-17 19:45:00
584,2017,7792,Juventus,Juventus,AC Milan,67,15,46.618756000000005,20.717312299999993,2610,2018-03-31 19:45:00
601,2017,7806,Juventus,Benevento,Juventus,70,16,47.25554700000001,21.805122299999994,2700,2018-04-07 13:00:00
636,2017,7815,Juventus,Juventus,Sampdoria,74,18,49.71644700000001,23.677872299999994,2790,2018-04-15 16:00:00
651,2017,7824,Juventus,Crotone,Juventus,77,18,52.06391700000001,24.487191299999992,2880,2018-04-18 18:45:00
676,2017,7835,Juventus,Juventus,Napoli,78,19,52.71773500000001,25.001493299999993,2970,2018-04-22 18:45:00
683,2017,7842,Juventus,Inter,Juventus,78,20,52.92621700000001,25.997814299999995,3060,2018-04-28 18:45:00
702,2017,7851,Juventus,Juventus,Bologna,81,22,54.284977000000005,26.625149299999993,3150,2018-05-05 19:45:00
737,2017,7862,Juventus,Roma,Juventus,84,23,56.324437,27.844809299999994,3240,2018-05-13 19:45:00
740,2017,7874,Juventus,Juventus,Verona,84,23,56.524895,28.238510299999994,3330,2018-05-19 00:00:00
