,fantaSquad,role,name,team,image
17,Rione Monti,C,Arturo Vidal,Inter,https://content.fantacalcio.it/web/campioncini/card2021/VIDAL.png
18,Rione Monti,C,Nicolo Zaniolo,Roma,https://content.fantacalcio.it/web/campioncini/card2021/ZANIOLO.png
19,Rione Monti,A,Edin Dzeko,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DZEKO.png
20,Rione Monti,A,Zlatan Ibrahimovic,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/IBRAHIMOVIC.png
21,Rione Monti,A,Álvaro Morata,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/MORATA.png
22,Rione Monti,A,Pedro,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/PEDRO.png
23,Rione Monti,A,Giacomo Raspadori,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/RASPADORI.png
24,Rione Monti,A,Eldor Shomurodov,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SHOMURODOV.png
25,MaiNa Joya_v2.0,P,Andrea Consigli,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/CONSIGLI.png
26,MaiNa Joya_v2.0,P,Bartlomiej Dragowski,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/DRAGOWSKI.png
27,MaiNa Joya_v2.0,P,Pietro Terracciano,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/TERRACCIANO.png
28,MaiNa Joya_v2.0,D,Gianmarco Ferrari,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/FERRARI-G.png
29,MaiNa Joya_v2.0,D,Diego Godín,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/GODIN.png
30,MaiNa Joya_v2.0,D,Theo Hernández,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/HERNANDEZ-T.png
31,MaiNa Joya_v2.0,D,Nikola Milenkovic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/MILENKOVIC.png
32,MaiNa Joya_v2.0,D,Nahuel Molina,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/MOLINA-N.png
33,MaiNa Joya_v2.0,D,Matteo Ruggeri,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/RUGGERI.png
34,MaiNa Joya_v2.0,D,Petar Stojanovic,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/STOJANOVIC.png
35,MaiNa Joya_v2.0,D,Rafael Toloi,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/TOLOI.png
36,MaiNa Joya_v2.0,C,Nedim Bajrami,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/BAJRAMI.png
37,MaiNa Joya_v2.0,C,Nicolò Barella,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BARELLA.png
38,MaiNa Joya_v2.0,C,Marten de Roon,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/DE-ROON.png
39,MaiNa Joya_v2.0,C,Filip Djuricic,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/DJURICIC.png
40,MaiNa Joya_v2.0,C,Youssef Maleh,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/MALEH.png
41,MaiNa Joya_v2.0,C,Sergej Milinkovic-Savic,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/MILINKOVIC-SAVIC.png
42,MaiNa Joya_v2.0,C,Tommaso Pobega,Torino,https://content.fantacalcio.it/web/campioncini/card2021/POBEGA.png
43,MaiNa Joya_v2.0,C,Jordan Veretout,Roma,https://content.fantacalcio.it/web/campioncini/card2021/VERETOUT.png
44,MaiNa Joya_v2.0,A,Tammy Abraham,Roma,https://content.fantacalcio.it/web/campioncini/card2021/ABRAHAM.png
45,MaiNa Joya_v2.0,A,Marko Arnautovic,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/ARNAUTOVIC.png
46,MaiNa Joya_v2.0,A,Josip Brekalo,Torino,https://content.fantacalcio.it/web/campioncini/card2021/BREKALO.png
47,MaiNa Joya_v2.0,A,Patrick Cutrone,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/CUTRONE.png
48,MaiNa Joya_v2.0,A,Lorenzo Insigne,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/INSIGNE.png
