goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.03355313464999199,10,Sub,Inter,Juventus,1,1,2019-04-27,9907,2018,328529,0.0119917131960392,0,1,0,0.03355313464999199,0.05771839991211891,0.024165267124772072
0,0,0,10,Sub,Inter,Roma,1,1,2019-04-20,9906,2018,326433,0.019169235602021217,0,1,0,0,0,0
0,0,0,1,Sub,Frosinone,Inter,1,3,2019-04-14,9890,2018,325201,0,0,0,0,0,0.544885516166687,0.544885516166687
0,0,0,23,Sub,Genoa,Inter,0,4,2019-04-03,9871,2018,322069,0,0,0,0,0,0.024715637788176537,0.024715637788176537
0,0,0,4,Sub,Inter,Lazio,0,1,2019-03-31,9861,2018,318789,0,0,0,0,0,0.05973909795284271,0.05973909795284271
0,1,0.05064387619495392,90,AMC,Inter,SPAL 2013,2,0,2019-03-10,9841,2018,315157,0.02906012162566185,0,1,0,0.05064387619495392,0.22440049052238464,0.14469650387763977
0,0,0,30,Sub,Inter,Sampdoria,2,1,2019-02-17,9811,2018,306805,0,0,0,0,0,0.028334055095911026,0.028334055095911026
0,0,0,77,AMR,Parma Calcio 1913,Inter,0,1,2019-02-09,9803,2018,306423,0.64398592710495,0,3,0,0,0.7681928873062134,0.12420695275068283
0,0,0,21,Sub,Inter,Bologna,0,1,2019-02-03,9793,2018,306221,0.06502073258161545,0,1,0,0,0.1290075182914734,0.06398678570985794
0,0,0,74,AMC,Torino,Inter,1,0,2019-01-27,9781,2018,305981,0.028934316709637642,0,1,0,0,0.49335920810699463,0.46442490816116333
0,0,0,61,AMC,Inter,Sassuolo,0,0,2019-01-19,9771,2018,305549,0,0,0,0,0,0,0
0,1,0.030650131404399872,90,MC,Empoli,Inter,0,1,2018-12-29,9758,2018,291195,0,0,0,0,0.030650131404399872,0.11021657288074493,0.07956644147634506
0,3,0.07067357748746872,85,MC,Inter,Napoli,1,0,2018-12-26,9752,2018,282380,0.0157181303948164,0,1,0,0.07067357748746872,0.06283031404018402,0.03065461665391922
0,1,0.5478097796440125,82,MC,Chievo,Inter,1,1,2018-12-22,9743,2018,282036,0.08150684833526611,0,1,0,0.5478097796440125,1.0668219327926636,0.4375053346157074
0,2,0.07383756339550018,90,MC,Inter,Udinese,1,0,2018-12-15,9733,2018,281525,0.0610773041844368,0,2,0,0.07383756339550018,0.349090576171875,0.25014257431030273
0,2,0.06948329508304596,78,MC,Juventus,Inter,1,0,2018-12-07,9717,2018,281292,0,0,0,0,0.06948329508304596,0.10916179418563843,0.03967849537730217
0,1,0.08227235078811646,90,MC,Roma,Inter,2,2,2018-12-02,9716,2018,281237,0.118832066655159,0,1,0,0.08227235078811646,1.1910878419876099,0.9899833798408508
0,2,0.03716881573200226,18,Sub,Inter,Frosinone,3,0,2018-11-24,9701,2018,280791,0.015575617551803589,0,1,0,0.03716881573200226,0.2631065547466278,0.24459043145179749
1,2,0.12926733493804932,90,MC,Inter,Genoa,5,0,2018-11-03,9680,2018,280203,0.7934057712554932,2,4,1,0.12926733493804932,0.9226731061935425,0.7255809307098389
0,0,0,57,MC,Lazio,Inter,0,3,2018-10-29,9671,2018,280133,0,0,0,0,0,0,0
