goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.011353950947523117,58,MC,Sampdoria,Juventus,2,0,2019-05-26,9954,2018,335107,0,0,0,0,0.011353950947523117,0.0474533848464489,0.03609943389892578
0,1,0.08908706158399582,90,MC,Juventus,Atalanta,1,1,2019-05-19,9940,2018,334375,0.37036916613578796,0,1,0,0.08908706158399582,0.5014411807060242,0.1310720443725586
0,1,0.0830531120300293,90,MC,Roma,Juventus,2,0,2019-05-12,9936,2018,332862,0.43304550647735596,0,1,0,0.0830531120300293,0.5160986185073853,0
0,1,0.02983527071774006,90,MC,Inter,Juventus,1,1,2019-04-27,9907,2018,328538,0,0,0,0,0.02983527071774006,0.07068829983472824,0.07068829983472824
0,2,0.05986826866865158,90,MC,Juventus,Fiorentina,2,1,2019-04-20,9901,2018,326179,0.08019709587097168,0,1,0,0.05986826866865158,0.2750069797039032,0.17383521795272827
0,0,0,24,MC,Juventus,AC Milan,2,1,2019-04-06,9886,2018,322714,0,0,0,0,0,0,0
0,2,0.12055186927318573,90,MC,Cagliari,Juventus,0,2,2019-04-02,9868,2018,321652,0,0,0,0,0.12055186927318573,1.3924790620803833,1.2719272375106812
0,1,0.013422312214970589,90,MC,Juventus,Empoli,1,0,2019-03-30,9862,2018,318056,0.03160852938890457,0,1,0,0.013422312214970589,0.5700775384902954,0.525046706199646
0,2,0.14722463488578796,90,MC,Genoa,Juventus,2,0,2019-03-17,9850,2018,316828,0.016264086589217186,0,1,0,0.14722463488578796,0.14722463488578796,0
1,2,0.8172186017036438,90,MC,Juventus,Udinese,4,1,2019-03-08,9842,2018,314158,0.016292806714773178,0,1,0,0.055919770151376724,0.36685600876808167,0.29464343190193176
1,1,0.29907897114753723,90,MC,Napoli,Juventus,1,2,2019-03-03,9836,2018,307371,0,0,0,1,0.29907897114753723,0,0
0,2,0.0862683355808258,90,MC,Juventus,Frosinone,3,0,2019-02-15,9812,2018,306603,0.12139919400215149,0,2,0,0.0862683355808258,0.30948856472969055,0.14299480617046356
1,1,0.09695921093225479,2,Sub,Sassuolo,Juventus,0,3,2019-02-10,9805,2018,306567,0,0,0,1,0.09695921093225479,0.09695921093225479,0
0,0,0,3,Sub,Juventus,Parma Calcio 1913,3,3,2019-02-02,9794,2018,306109,0.08980592340230942,0,1,0,0,0.08980592340230942,0.08980592340230942
0,1,0.05969153344631195,90,MC,Lazio,Juventus,1,2,2019-01-27,9786,2018,306007,0,0,0,0,0.05969153344631195,0.05969153344631195,0
1,2,0.43264439702033997,90,MC,Juventus,Chievo,3,0,2019-01-21,9772,2018,305742,0.5673434138298035,0,3,1,0.43264439702033997,1.697782039642334,1.0755754709243774
0,1,0.038940586149692535,90,MC,Juventus,Sampdoria,2,1,2018-12-29,9760,2018,291129,0,0,0,0,0.038940586149692535,0.12247570604085922,0.08353511989116669
0,0,0,90,MC,Atalanta,Juventus,2,2,2018-12-26,9747,2018,282226,0,0,0,0,0,0.02018555998802185,0.02018555998802185
0,0,0,19,Sub,Juventus,Roma,1,0,2018-12-22,9746,2018,282111,0.012799791991710663,0,1,0,0,0,0
0,2,0.04852741211652756,90,MC,Torino,Juventus,0,1,2018-12-15,9727,2018,281567,0,0,0,0,0.04852741211652756,0.017266955226659775,0
0,0,0,7,Sub,Juventus,Inter,1,0,2018-12-07,9717,2018,281284,0,0,0,0,0,0,0
0,1,0.03733934462070465,43,Sub,Udinese,Juventus,0,2,2018-10-06,9656,2018,279412,0,0,0,0,0.03733934462070465,0.909835934638977,0.8724966049194336
0,1,0.01743406616151333,62,MC,Juventus,Napoli,3,1,2018-09-29,9646,2018,253725,0.6317766308784485,0,3,0,0.01743406616151333,0.035871587693691254,0.035871587693691254
0,2,0.2352612167596817,26,Sub,Juventus,Bologna,2,0,2018-09-26,9632,2018,252369,0,0,0,0,0.2352612167596817,0.2352612167596817,0
0,1,0.06954656541347504,90,MC,Frosinone,Juventus,0,2,2018-09-23,9620,2018,251459,0.012689000926911831,0,1,0,0.06954656541347504,0.23319795727729797,0.22050896286964417
0,3,0.058748796582221985,74,MC,Juventus,Sassuolo,2,1,2018-09-16,9612,2018,249417,0.12322375923395157,1,1,0,0.058748796582221985,0.34217286109924316,0.30500590801239014
0,0,0,16,Sub,Parma Calcio 1913,Juventus,1,2,2018-09-01,9599,2018,247210,0.030886586755514145,0,1,0,0,0.030886586755514145,0.030886586755514145
0,0,0,19,Sub,Juventus,Lazio,2,0,2018-08-25,9587,2018,245271,0,0,0,0,0,0.06675412505865097,0.06675412505865097
0,1,0.033799029886722565,5,Sub,Chievo,Juventus,2,3,2018-08-18,9577,2018,242921,0,0,0,0,0.033799029886722565,0.18435630202293396,0.1505572646856308
