goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,19,Sub,Inter,Empoli,2,1,2019-05-26,9952,2018,335278,0,0,0,0,0,1.0328221321105957,1.0328221321105957
1,1,0.6449172496795654,26,Sub,Empoli,Torino,4,1,2019-05-19,9938,2018,334215,0,0,0,1,0.6449172496795654,1.280125379562378,0.6352081298828125
0,0,0,1,Sub,Sampdoria,Empoli,1,2,2019-05-12,9929,2018,332144,0,0,0,0,0,0,0
0,0,0,14,Sub,Empoli,SPAL 2013,2,4,2019-04-20,9899,2018,325767,0,0,0,0,0,0.012394174002110958,0.012394174002110958
0,0,0,50,Sub,Empoli,Napoli,2,1,2019-04-03,9869,2018,321780,0.054555028676986694,0,1,0,0,0.054555028676986694,0
0,0,0,26,Sub,Roma,Empoli,2,1,2019-03-11,9844,2018,315673,0,0,0,0,0,0,0
0,0,0,11,Sub,Empoli,Sassuolo,3,0,2019-02-17,9809,2018,306777,0.08626216650009155,0,1,0,0,0.08626216650009155,0
0,0,0,57,MC,Cagliari,Empoli,2,2,2019-01-20,9767,2018,305673,0,0,0,0,0,0,0
0,0,0,7,Sub,Empoli,Udinese,2,1,2018-11-11,9689,2018,280625,0,0,0,0,0,0,0
0,0,0,7,Sub,Empoli,AC Milan,1,1,2018-09-27,9629,2018,253037,0,0,0,0,0,0,0
