fanta_team,role,player,team,image
Rione Monti,A,Felix Afena-Gyan,Roma,https://content.fantacalcio.it/web/campioncini/card2021/AFENA-GYAN.png
Rione Monti,A,Edin Dzeko,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DZEKO.png
Rione Monti,A,Zlatan Ibrahimovic,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/IBRAHIMOVIC.png
Rione Monti,A,Pedro,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/PEDRO.png
Rione Monti,A,Andrea Pinamonti,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/PINAMONTI.png
Rione Monti,A,Giacomo Raspadori,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/RASPADORI.png
MaiNa Joya_v2.0,P,Andrea Consigli,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/CONSIGLI.png
MaiNa Joya_v2.0,P,Bartlomiej Dragowski,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/DRAGOWSKI.png
MaiNa Joya_v2.0,P,Pietro Terracciano,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/TERRACCIANO.png
MaiNa Joya_v2.0,D,Gianmarco Ferrari,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/FERRARI-G.png
MaiNa Joya_v2.0,D,Robin Gosens,Inter,https://content.fantacalcio.it/web/campioncini/card2021/GOSENS.png
MaiNa Joya_v2.0,D,Theo Hernández,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/HERNANDEZ-T.png
MaiNa Joya_v2.0,D,Nikola Milenkovic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/MILENKOVIC.png
MaiNa Joya_v2.0,D,Nahuel Molina,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/MOLINA-N.png
MaiNa Joya_v2.0,D,Luis Josè Palomino,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PALOMINO.png
MaiNa Joya_v2.0,D,Petar Stojanovic,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/STOJANOVIC.png
MaiNa Joya_v2.0,D,Rafael Toloi,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/TOLOI.png
MaiNa Joya_v2.0,C,Nicolò Barella,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BARELLA.png
MaiNa Joya_v2.0,C,Federico Bernardeschi,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/BERNARDESCHI.png
MaiNa Joya_v2.0,C,Manuel Locatelli,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/LOCATELLI.png
MaiNa Joya_v2.0,C,Sergej Milinkovic-Savic,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/MILINKOVIC-SAVIC.png
MaiNa Joya_v2.0,C,Sergio Oliveira,Roma,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png
MaiNa Joya_v2.0,C,Tommaso Pobega,Torino,https://content.fantacalcio.it/web/campioncini/card2021/POBEGA.png
MaiNa Joya_v2.0,C,Stefano Sensi,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/SENSI.png
MaiNa Joya_v2.0,C,Roberto Soriano,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/SORIANO.png
MaiNa Joya_v2.0,A,Tammy Abraham,Roma,https://content.fantacalcio.it/web/campioncini/card2021/ABRAHAM.png
MaiNa Joya_v2.0,A,Marko Arnautovic,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/ARNAUTOVIC.png
MaiNa Joya_v2.0,A,Jeremie Boga,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/BOGA.png
MaiNa Joya_v2.0,A,Josip Brekalo,Torino,https://content.fantacalcio.it/web/campioncini/card2021/BREKALO.png
MaiNa Joya_v2.0,A,Lorenzo Insigne,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/INSIGNE.png
MaiNa Joya_v2.0,A,Álvaro Morata,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/MORATA.png
AC Picchia,P,Lorenzo Montipò,Verona,https://content.fantacalcio.it/web/campioncini/card2021/MONTIPO.png
AC Picchia,P,Mattia Perin,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/PERIN.png
AC Picchia,P,Wojciech Szczesny,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/SZCZESNY.png
AC Picchia,D,Cristian Ansaldi,Torino,https://content.fantacalcio.it/web/campioncini/card2021/ANSALDI.png
AC Picchia,D,Tommaso Augello,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/AUGELLO.png
AC Picchia,D,Davide Calabria,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/CALABRIA.png
AC Picchia,D,Dalbert,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/DALBERT.png
AC Picchia,D,Matthijs de Ligt,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DE-LIGT.png
AC Picchia,D,Marco Faraoni,Verona,https://content.fantacalcio.it/web/campioncini/card2021/FARAONI.png
AC Picchia,D,Alessandro Florenzi,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/FLORENZI.png
AC Picchia,D,Álvaro Odriozola,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/ODRIOZOLA.png
AC Picchia,C,Mattia Aramu,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/ARAMU.png
AC Picchia,C,Marcelo Brozovic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BROZOVIC.png
AC Picchia,C,Hakan Calhanoglu,Inter,https://content.fantacalcio.it/web/campioncini/card2021/CALHANOGLU.png
AC Picchia,C,Ruslan Malinovskiy,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MALINOVSKYI.png
AC Picchia,C,Razvan Marin,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/MARIN.png
AC Picchia,C,Nahitan Nández,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/NANDEZ.png
AC Picchia,C,Riccardo Orsolini,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/ORSOLINI.png
AC Picchia,C,Morten Thorsby,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/THORSBY.png
AC Picchia,A,Arthur Cabral,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png
AC Picchia,A,Francesco Caputo,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/CAPUTO.png
AC Picchia,A,Olivier Giroud,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/GIROUD.png
AC Picchia,A,Thomas Henry,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/HENRY.png
AC Picchia,A,Luis Muriel,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MURIEL.png
AC Picchia,A,Daniele Verde,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/VERDE.png
AI sereje ja dejeDe jebe tu de jebere,P,Ivan Provedel,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/PROVEDEL.png
AI sereje ja dejeDe jebe tu de jebere,P,José Reina,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/REINA.png
