,fantaSquad,role,name,team,image
0,PIPPO TEAM,P,Andrea Consigli,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/CONSIGLI.png
1,PIPPO TEAM,P,Mike Maignan,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/MAIGNAN.png
2,PIPPO TEAM,P,Jeroen Zoet,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/ZOET.png
3,PIPPO TEAM,D,Bartosz Bersezynski,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/BERESZYNSKI.png
4,PIPPO TEAM,D,Juan Cuadrado,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/CUADRADO.png
5,PIPPO TEAM,D,Dalbert,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/DALBERT.png
6,PIPPO TEAM,D,Gianmarco Ferrari,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/FERRARI-G.png
7,PIPPO TEAM,D,Rick Karsdorp,Roma,https://content.fantacalcio.it/web/campioncini/card2021/KARSDORP.png
8,PIPPO TEAM,D,Nikola Milenkovic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/MILENKOVIC.png
9,PIPPO TEAM,D,Wilfried Stephane Singo,Torino,https://content.fantacalcio.it/web/campioncini/card2021/SINGO.png
10,PIPPO TEAM,D,Jens Stryger Larsen,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/STRYGER-LARSEN.png
11,PIPPO TEAM,C,Mattia Aramu,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/ARAMU.png
12,PIPPO TEAM,C,Eljif Elmas,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/ELMAS.png
13,PIPPO TEAM,C,Viktor Kovalenko,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/KOVALENKO.png
14,PIPPO TEAM,C,Ruslan Malinovskiy,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MALINOVSKYI.png
15,PIPPO TEAM,C,Sergej Milinkovic-Savic,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/MILINKOVIC-SAVIC.png
16,PIPPO TEAM,C,Aleksey Miranchuk,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MIRANCHUK.png
17,PIPPO TEAM,C,Adrien Rabiot,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/RABIOT.png
18,PIPPO TEAM,C,Fabián,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/RUIZ.png
19,PIPPO TEAM,A,Tammy Abraham,Roma,https://content.fantacalcio.it/web/campioncini/card2021/ABRAHAM.png
20,PIPPO TEAM,A,Nicolás González,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/GONZALEZ-N.png
21,PIPPO TEAM,A,Josip Ilicic,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ILICIC.png
22,PIPPO TEAM,A,Moise Kean,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/KEAN.png
23,PIPPO TEAM,A,Matteo Politano,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/POLITANO.png
24,PIPPO TEAM,A,Fabio Quagliarella,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/QUAGLIARELLA.png
25,Birra-real,P,Lorenzo Montipò,Verona,https://content.fantacalcio.it/web/campioncini/card2021/MONTIPO.png
26,Birra-real,P,Juan Musso,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MUSSO.png
27,Birra-real,P,Marco Silvestri,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/SILVESTRI.png
28,Birra-real,D,Cristian Ansaldi,Torino,https://content.fantacalcio.it/web/campioncini/card2021/ANSALDI.png
29,Birra-real,D,Federico Ceccherini,Verona,https://content.fantacalcio.it/web/campioncini/card2021/CECCHERINI.png
30,Birra-real,D,Danilo,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DANILO.png
31,Birra-real,D,Merih Demiral,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/DEMIRAL.png
32,Birra-real,D,Martin Erlic,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/ERLIC.png
33,Birra-real,D,Robin Gosens,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/GOSENS.png
34,Birra-real,D,Gianluca Mancini,Roma,https://content.fantacalcio.it/web/campioncini/card2021/MANCINI.png
35,Birra-real,D,Matteo Ruggeri,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/RUGGERI.png
36,Birra-real,C,Nedim Bajrami,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/BAJRAMI.png
