,fantaSquad,role,name,team,image
0,orange hill,P,Alessio Cragno,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/CRAGNO.png
1,orange hill,P,Samir Handanovic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/HANDANOVIC.png
2,orange hill,P,Ionut Radu,Inter,https://content.fantacalcio.it/web/campioncini/card2021/RADU-I.png
3,orange hill,D,Cristian Ansaldi,Torino,https://content.fantacalcio.it/web/campioncini/card2021/ANSALDI.png
4,orange hill,D,Leonardo Bonucci,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/BONUCCI.png
5,orange hill,D,Giorgio Chiellini,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/CHIELLINI.png
6,orange hill,D,Domenico Criscito,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/CRISCITO.png
7,orange hill,D,Mário Rui,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MARIO-RUI.png
8,orange hill,D,Adam Marusic,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/MARUSIC.png
9,orange hill,D,Milan Skriniar,Inter,https://content.fantacalcio.it/web/campioncini/card2021/SKRINIAR.png
10,orange hill,D,Leonardo Spinazzola,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SPINAZZOLA.png
11,orange hill,C,Tiemouè Bakayoko,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/BAKAYOKO.png
12,orange hill,C,José Callejón,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/CALLEJON.png
13,orange hill,C,Rolando Mandragora,Torino,https://content.fantacalcio.it/web/campioncini/card2021/MANDRAGORA.png
14,orange hill,C,Sergej Milinkovic-Savic,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/MILINKOVIC-SAVIC.png
15,orange hill,C,Aleksey Miranchuk,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MIRANCHUK.png
16,orange hill,C,Lorenzo Pellegrini,Roma,https://content.fantacalcio.it/web/campioncini/card2021/PELLEGRINI-LO.png
17,orange hill,C,Tommaso Pobega,Torino,https://content.fantacalcio.it/web/campioncini/card2021/POBEGA.png
18,orange hill,C,Piotr Zielinski,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/ZIELINSKI.png
19,orange hill,A,Patrick Cutrone,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/CUTRONE.png
20,orange hill,A,Edin Dzeko,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DZEKO.png
21,orange hill,A,Álvaro Morata,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/MORATA.png
22,orange hill,A,Leonardo Pavoletti,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/PAVOLETTI.png
23,orange hill,A,Giacomo Raspadori,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/RASPADORI.png
24,orange hill,A,Ante Rebic,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/REBIC.png
25,Real Sbeckers,P,Vanja Milinkovic-Savic,Torino,https://content.fantacalcio.it/web/campioncini/card2021/MILINKOVIC-SAVIC-V.png
26,Real Sbeckers,P,Lukasz Skorupski,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/SKORUPSKI.png
27,Real Sbeckers,P,Jeroen Zoet,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/ZOET.png
28,Real Sbeckers,D,Merih Demiral,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/DEMIRAL.png
29,Real Sbeckers,D,Berat Gjimshiti,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/DJIMSITI.png
30,Real Sbeckers,D,Robin Gosens,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/GOSENS.png
31,Real Sbeckers,D,Simon Kjaer,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/KJAER.png
32,Real Sbeckers,D,Nikola Milenkovic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/MILENKOVIC.png
33,Real Sbeckers,D,Matija Nastasic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/NASTASIC.png
34,Real Sbeckers,D,Luis Josè Palomino,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PALOMINO.png
35,Real Sbeckers,D,Rogerio,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/ROGERIO.png
36,Real Sbeckers,C,Federico Chiesa,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/CHIESA.png
37,Real Sbeckers,C,Mikkel Damsgaard,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/DAMSGAARD.png
38,Real Sbeckers,C,Brahim Diaz,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/DIAZ-B.png
39,Real Sbeckers,C,Hernani,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/HERNANI.png
40,Real Sbeckers,C,Manuel Locatelli,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/LOCATELLI.png
41,Real Sbeckers,C,Razvan Marin,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/MARIN.png
42,Real Sbeckers,C,Dennis Praet,Torino,https://content.fantacalcio.it/web/campioncini/card2021/PRAET.png
43,Real Sbeckers,C,Morten Thorsby,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/THORSBY.png
44,Real Sbeckers,A,Mattia Destro,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/DESTRO.png
45,Real Sbeckers,A,Paulo Dybala,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/DYBALA.png
46,Real Sbeckers,A,Ciro Immobile,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/IMMOBILE.png
47,Real Sbeckers,A,Borja Mayoral,Roma,https://content.fantacalcio.it/web/campioncini/card2021/MAYORAL.png
48,Real Sbeckers,A,Rafael Leão,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/RAFAEL-LEAO.png
49,Real Sbeckers,A,Gianluca Scamacca,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/SCAMACCA.png
50,Olympique Jeaukondy,P,Lorenzo Montipò,Verona,https://content.fantacalcio.it/web/campioncini/card2021/MONTIPO.png
51,Olympique Jeaukondy,P,José Reina,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/REINA.png
52,Olympique Jeaukondy,P,Thomas Strakosha,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/STRAKOSHA.png
53,Olympique Jeaukondy,D,Cristiano Biraghi,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/BIRAGHI.png
54,Olympique Jeaukondy,D,Federico Dimarco,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DIMARCO.png
55,Olympique Jeaukondy,D,Hans Hateboer,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/HATEBOER.png
56,Olympique Jeaukondy,D,Theo Hernández,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/HERNANDEZ-T.png
57,Olympique Jeaukondy,D,Álvaro Odriozola,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/ODRIOZOLA.png
58,Olympique Jeaukondy,D,Matteo Ruggeri,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/RUGGERI.png
59,Olympique Jeaukondy,D,Rafael Toloi,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/TOLOI.png
60,Olympique Jeaukondy,D,Matias Viña,Roma,https://content.fantacalcio.it/web/campioncini/card2021/VINA.png
61,Olympique Jeaukondy,C,Antonin Barak,Verona,https://content.fantacalcio.it/web/campioncini/card2021/BARAK.png
62,Olympique Jeaukondy,C,Hakan Calhanoglu,Inter,https://content.fantacalcio.it/web/campioncini/card2021/CALHANOGLU.png
63,Olympique Jeaukondy,C,Remo Freuler,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/FREULER.png
64,Olympique Jeaukondy,C,Viktor Kovalenko,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/KOVALENKO.png
65,Olympique Jeaukondy,C,Miguel Veloso,Verona,https://content.fantacalcio.it/web/campioncini/card2021/MIGUEL-VELOSO.png
66,Olympique Jeaukondy,C,Ivan Perisic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/PERISIC.png
67,Olympique Jeaukondy,C,Matteo Pessina,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PESSINA.png
68,Olympique Jeaukondy,C,Alexis Saelemaekers,AC Milan,https://content.fantacalcio.it/web/campioncini/card2021/SAELEMAEKERS.png
69,Olympique Jeaukondy,A,Joaquín Correa,Inter,https://content.fantacalcio.it/web/campioncini/card2021/CORREA.png
70,Olympique Jeaukondy,A,Thomas Henry,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/HENRY.png
71,Olympique Jeaukondy,A,João Pedro,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/JOAO-PEDRO.png
72,Olympique Jeaukondy,A,Victor Osimhen,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/OSIMHEN.png
73,Olympique Jeaukondy,A,Ignacio Pussetto,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/PUSSETTO.png
74,Olympique Jeaukondy,A,Simy,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/SIMY.png
75,Deportivo LaCadrega,P,Andrea Consigli,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/CONSIGLI.png
76,Deportivo LaCadrega,P,Juan Musso,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MUSSO.png
77,Deportivo LaCadrega,P,Guglielmo Vicario,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/VICARIO.png
78,Deportivo LaCadrega,D,Alessandro Bastoni,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BASTONI.png
79,Deportivo LaCadrega,D,Bremer,Torino,https://content.fantacalcio.it/web/campioncini/card2021/BREMER.png
80,Deportivo LaCadrega,D,Matteo Darmian,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DARMIAN.png
81,Deportivo LaCadrega,D,Denzel Dumfries,Inter,https://content.fantacalcio.it/web/campioncini/card2021/DUMFRIES.png
82,Deportivo LaCadrega,D,Rick Karsdorp,Roma,https://content.fantacalcio.it/web/campioncini/card2021/KARSDORP.png
83,Deportivo LaCadrega,D,Lucas Quarta Martinez,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/MARTINEZ-QUARTA.png
84,Deportivo LaCadrega,D,Dimitrios Nikolaou,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/NIKOLAOU.png
85,Deportivo LaCadrega,D,Gabriele Zappa,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPA.png
86,Deportivo LaCadrega,C,Mattia Aramu,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/ARAMU.png
87,Deportivo LaCadrega,C,Nedim Bajrami,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/BAJRAMI.png
88,Deportivo LaCadrega,C,Teun Koopmeiners,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/KOOPMEINERS.png
89,Deportivo LaCadrega,C,Weston McKennie,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/MCKENNIE.png
90,Deportivo LaCadrega,C,Riccardo Orsolini,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/ORSOLINI.png
91,Deportivo LaCadrega,C,Mario Pasalic,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PASALIC.png
92,Deportivo LaCadrega,C,Roberto Soriano,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/SORIANO.png
93,Deportivo LaCadrega,C,Mattia Zaccagni,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/ZACCAGNI.png
94,Deportivo LaCadrega,A,Marko Arnautovic,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/ARNAUTOVIC.png
95,Deportivo LaCadrega,A,Musa Barrow,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/BARROW.png
96,Deportivo LaCadrega,A,Nicolás González,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/GONZALEZ-N.png
97,Deportivo LaCadrega,A,Leonardo Mancuso,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/MANCUSO.png
98,Deportivo LaCadrega,A,Luis Muriel,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MURIEL.png
99,Deportivo LaCadrega,A,Eldor Shomurodov,Roma,https://content.fantacalcio.it/web/campioncini/card2021/SHOMURODOV.png
100,Tantopekanté,P,Alex Meret,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MERET.png
101,Tantopekanté,P,David Ospina,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/OSPINA.png
102,Tantopekanté,P,Marco Silvestri,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/SILVESTRI.png
103,Tantopekanté,D,Alex Sandro,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/ALEX-SANDRO.png
104,Tantopekanté,D,Bartosz Bersezynski,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/BERESZYNSKI.png
105,Tantopekanté,D,Omar Colley,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/COLLEY.png
106,Tantopekanté,D,Giovanni Di Lorenzo,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/DI-LORENZO.png
107,Tantopekanté,D,Gianmarco Ferrari,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/FERRARI-G.png
108,Tantopekanté,D,Joakim Maehle,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MAEHLE.png
109,Tantopekanté,D,Nahuel Molina,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/MOLINA-N.png
110,Tantopekanté,D,Jens Stryger Larsen,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/STRYGER-LARSEN.png
111,Tantopekanté,C,Marcelo Brozovic,Inter,https://content.fantacalcio.it/web/campioncini/card2021/BROZOVIC.png
