,season,matchId,team,homeTeam,awayTeam,goalsScored,goalsConceded,xGScored,xGConceded,time,date
7,2016,934,Sassuolo,Palermo,Sassuolo,0,0,0.0,0.0,0,2016-08-21 22:45:00
28,2016,945,Sassuolo,Sassuolo,Pescara,1,0,1.67953,0.351218,90,2016-08-28 22:45:00
41,2016,951,Sassuolo,Juventus,Sassuolo,3,1,2.22296,1.809758,180,2016-09-10 20:00:00
66,2016,964,Sassuolo,Sassuolo,Genoa,4,4,3.058074,5.109488,270,2016-09-18 17:00:00
83,2016,972,Sassuolo,Chievo,Sassuolo,6,4,5.355384,6.514108,360,2016-09-21 22:45:00
104,2016,983,Sassuolo,Sassuolo,Udinese,7,6,5.790811,6.709117,450,2016-09-25 17:00:00
135,2016,998,Sassuolo,AC Milan,Sassuolo,8,6,7.301401,7.321009,540,2016-10-02 20:00:00
152,2016,1007,Sassuolo,Sassuolo,Crotone,11,10,8.481311,8.740579,630,2016-10-16 17:00:00
175,2016,1018,Sassuolo,Bologna,Sassuolo,13,11,10.532731,9.374741,720,2016-10-23 20:00:00
194,2016,3288,Sassuolo,Sassuolo,Roma,14,12,11.171422,10.774191,810,2016-10-26 22:45:00
205,2016,3293,Sassuolo,Lazio,Sassuolo,15,15,12.178412,12.992640999999999,900,2016-10-30 18:00:00
230,2016,2752,Sassuolo,Sassuolo,Atalanta,16,17,13.437312,14.781790999999998,990,2016-11-06 18:00:00
245,2016,2759,Sassuolo,Sampdoria,Sassuolo,16,20,14.478592,16.084591,1080,2016-11-20 15:30:00
275,2016,2774,Sassuolo,Napoli,Sassuolo,18,23,15.625412,18.629061,1170,2016-11-28 22:00:00
290,2016,3072,Sassuolo,Sassuolo,Empoli,19,24,16.145624,19.868451,1260,2016-12-04 18:00:00
315,2016,3084,Sassuolo,Fiorentina,Sassuolo,22,24,18.896564,21.077261,1350,2016-12-12 22:00:00
328,2016,3090,Sassuolo,Sassuolo,Inter,23,26,20.112514,22.784241,1440,2016-12-18 15:30:00
353,2016,3103,Sassuolo,Cagliari,Sassuolo,23,27,20.686771,25.097321,1530,2016-12-22 23:45:00
362,2016,3524,Sassuolo,Sassuolo,Torino,26,31,22.115481,27.280141,1620,2017-01-08 18:00:00
382,2016,3534,Sassuolo,Sassuolo,Palermo,26,31,22.725621,29.348221000000002,1710,2017-01-15 18:00:00
405,2016,3545,Sassuolo,Pescara,Sassuolo,30,32,24.208811,30.676141,1800,2017-01-22 17:00:00
428,2016,3557,Sassuolo,Sassuolo,Juventus,33,33,25.426881,32.739441,1890,2017-01-29 17:00:00
441,2016,3562,Sassuolo,Genoa,Sassuolo,33,35,26.050731000000003,34.276030999999996,1980,2017-02-05 14:00:00
468,2016,3576,Sassuolo,Sassuolo,Chievo,34,35,26.967269,35.047464,2070,2017-02-12 14:00:00
493,2016,3588,Sassuolo,Udinese,Sassuolo,35,38,28.975989000000002,37.883734,2160,2017-02-19 14:00:00
510,2016,3596,Sassuolo,Sassuolo,AC Milan,37,39,31.040789000000004,39.508744,2250,2017-02-26 14:00:00
537,2016,3611,Sassuolo,Crotone,Sassuolo,37,40,32.284149000000006,41.749534,2340,2017-03-05 14:00:00
544,2016,3613,Sassuolo,Sassuolo,Bologna,37,40,33.13286500000001,43.000113999999996,2430,2017-03-12 11:30:00
579,2016,3631,Sassuolo,Roma,Sassuolo,37,41,33.77394500000001,44.366243999999995,2520,2017-03-19 19:45:00
580,2016,3638,Sassuolo,Sassuolo,Lazio,38,44,34.61747100000001,46.760594,2610,2017-04-01 17:00:00
603,2016,3650,Sassuolo,Atalanta,Sassuolo,39,46,35.93465100000001,47.778734,2700,2017-04-08 17:00:00
636,2016,3660,Sassuolo,Sassuolo,Sampdoria,40,47,37.01793100000001,49.780094,2790,2017-04-15 17:00:00
644,2016,3668,Sassuolo,Sassuolo,Napoli,42,48,38.00823100000001,50.609387,2880,2017-04-23 11:30:00
675,2016,3680,Sassuolo,Empoli,Sassuolo,44,50,39.00517000000001,53.297036999999996,2970,2017-04-30 14:00:00
690,2016,3686,Sassuolo,Sassuolo,Fiorentina,47,51,40.902590000000004,55.617397,3060,2017-05-07 14:00:00
705,2016,3700,Sassuolo,Inter,Sassuolo,49,53,42.99591,57.681017,3150,2017-05-14 11:30:00
728,2016,3704,Sassuolo,Sassuolo,Cagliari,51,54,45.15992,58.854547,3240,2017-05-21 14:00:00
757,2016,3720,Sassuolo,Torino,Sassuolo,57,56,47.11336,59.361281,3330,2017-05-28 19:45:00
