id,isResult,side,h,a,goals,xG,datetime,forecast,result
819,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '0', 'a': '2'}","{'h': '1.33889', 'a': '1.58757'}",2016-02-29 22:00:00,"{'w': 0.3226468117697647, 'd': 0.24438134813602072, 'l': 0.4329718398989292}",w
825,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '2', 'a': '0'}","{'h': '1.65735', 'a': '1.19852'}",2016-03-06 18:00:00,"{'w': 0.48094276769599786, 'd': 0.24266219021169297, 'l': 0.27639504177078267}",w
831,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '1', 'a': '0'}","{'h': '1.48559', 'a': '0.419901'}",2016-03-11 23:45:00,"{'w': 0.6404317058609009, 'd': 0.257053396570774, 'l': 0.10251489749607119}",l
848,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '1', 'a': '1'}","{'h': '0.798145', 'a': '1.85642'}",2016-03-20 18:00:00,"{'w': 0.15547332135951533, 'd': 0.22011627434429298, 'l': 0.6244104028489253}",d
851,True,a,"{'id': '103', 'title': 'Carpi', 'short_title': 'CAP'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '1', 'a': '3'}","{'h': '1.39986', 'a': '1.80569'}",2016-04-02 20:00:00,"{'w': 0.2993421390467741, 'd': 0.2291225737359158, 'l': 0.4715352861839509}",w
862,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '0', 'a': '1'}","{'h': '0.735631', 'a': '0.70429'}",2016-04-09 20:00:00,"{'w': 0.3210530136001952, 'd': 0.3765540643762886, 'l': 0.30239292202351026}",l
875,True,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '3', 'a': '1'}","{'h': '1.39254', 'a': '1.04068'}",2016-04-17 17:00:00,"{'w': 0.4498123152392988, 'd': 0.2691310112647111, 'l': 0.2810566734655999}",l
882,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '0', 'a': '0'}","{'h': '3.28685', 'a': '0.150904'}",2016-04-20 20:30:00,"{'w': 0.9432247097546647, 'd': 0.050165494569925556, 'l': 0.00660777265620415}",d
893,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '1', 'a': '3'}","{'h': '0.957336', 'a': '1.55044'}",2016-04-24 17:00:00,"{'w': 0.2333162760197403, 'd': 0.25533148981970955, 'l': 0.5113522340312788}",w
907,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '1', 'a': '0'}","{'h': '0.51533', 'a': '0.483795'}",2016-05-01 17:00:00,"{'w': 0.27768333630673964, 'd': 0.46588190202625474, 'l': 0.25643476166700535}",w
916,True,a,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '0', 'a': '1'}","{'h': '1.09778', 'a': '1.32832'}",2016-05-08 17:00:00,"{'w': 0.3081783822241021, 'd': 0.2725884719762539, 'l': 0.4192331457829174}",w
922,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '3', 'a': '1'}","{'h': '1.28643', 'a': '1.11693'}",2016-05-14 22:45:00,"{'w': 0.40346039067802203, 'd': 0.2751497486312948, 'l': 0.3213898606792287}",w
