match_id,date,player_id,player,home_team,away_team,is_home,season,month,day,hour,week_day,position,target,team,G90P,A90P,s90P,xG90P,xA90P,time,G90T,GC90T,xG90T,xGC90T,G90OT,GC90OT,xG90OT,xGC90OT
7499,2017-08-19,1285,Gianluigi Buffon,Juventus,Cagliari,1,2017,8,19,17,5,GK,0.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1303,Stephan Lichtsteiner,Juventus,Cagliari,1,2017,8,19,17,5,DR,1.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1576,Giorgio Chiellini,Juventus,Cagliari,1,2017,8,19,17,5,DC,0.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1301,Daniele Rugani,Juventus,Cagliari,1,2017,8,19,17,5,DC,0.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1289,Alex Sandro,Juventus,Cagliari,1,2017,8,19,17,5,DL,1.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1290,Miralem Pjanic,Juventus,Cagliari,1,2017,8,19,17,5,DMC,1.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1300,Claudio Marchisio,Juventus,Cagliari,1,2017,8,19,17,5,DMC,0.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1089,Juan Cuadrado,Juventus,Cagliari,1,2017,8,19,17,5,AMR,0.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1294,Paulo Dybala,Juventus,Cagliari,1,2017,8,19,17,5,AMC,3.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1295,Mario Mandzukic,Juventus,Cagliari,1,2017,8,19,17,5,AML,3.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1293,Gonzalo Higuaín,Juventus,Cagliari,1,2017,8,19,17,5,FW,3.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,393,Douglas Costa,Juventus,Cagliari,1,2017,8,19,17,5,Sub,0.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,3296,Blaise Matuidi,Juventus,Cagliari,1,2017,8,19,17,5,Sub,0.0,Juventus,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1292,Sami Khedira,Juventus,Cagliari,1,2017,8,19,17,5,Sub,0.0,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,3927,Alessio Cragno,Juventus,Cagliari,0,2017,8,19,17,5,GK,0.0,Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1403,Simone Padoin,Juventus,Cagliari,0,2017,8,19,17,5,DR,0.0,Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1397,Fabio Pisacane,Juventus,Cagliari,0,2017,8,19,17,5,DC,0.0,Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,2603,Marco Andreolli,Juventus,Cagliari,0,2017,8,19,17,5,DC,0.0,Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,1408,Marco Capuano,Juventus,Cagliari,0,2017,8,19,17,5,DL,0.0,Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7499,2017-08-19,4912,Paolo Faragò,Juventus,Cagliari,0,2017,8,19,17,5,MC,0.0,Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
