match_id,date,player_id,player,home_team,away_team,is_home,season,month,day,hour,week_day,position,target,team,G90P,A90P,s90P,xG90P,xA90P,time,G90T,GC90T,xG90T,xGC90T,G90OT,GC90OT,xG90OT,xGC90OT,opponent
16756,2021-08-21,8830,Ivor Pandur,Verona,Sassuolo,1,2021,8,21,16,5,GK,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,7923,Pawel Dawidowicz,Verona,Sassuolo,1,2021,8,21,16,5,DC,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,7092,Koray Günter,Verona,Sassuolo,1,2021,8,21,16,5,DC,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,1370,Federico Ceccherini,Verona,Sassuolo,1,2021,8,21,16,5,DC,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,8829,Nicolò Casale,Verona,Sassuolo,1,2021,8,21,16,5,DMR,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,1106,Darko Lazovic,Verona,Sassuolo,1,2021,8,21,16,5,DML,1.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,5103,Martin Hongla,Verona,Sassuolo,1,2021,8,21,16,5,MC,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,1098,Miguel Veloso,Verona,Sassuolo,1,2021,8,21,16,5,MC,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,1958,Mattia Zaccagni,Verona,Sassuolo,1,2021,8,21,16,5,AMC,6.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,6208,Antonin Barak,Verona,Sassuolo,1,2021,8,21,16,5,AMC,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,1425,Nikola Kalinic,Verona,Sassuolo,1,2021,8,21,16,5,FW,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,8035,Samuel Di Carmine,Verona,Sassuolo,1,2021,8,21,16,5,Sub,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
16756,2021-08-21,9071,Matteo Cancellieri,Verona,Sassuolo,1,2021,8,21,16,5,Sub,0.0,Verona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sassuolo
