id,isResult,side,h,a,goals,xG,datetime
16944,False,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2021-12-21 18:30:00
16948,False,a,"{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-01-06 20:45:00
17065,False,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-04-03 02:00:00
17075,False,a,"{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-04-10 02:00:00
17085,False,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-04-16 02:00:00
17086,False,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-04-24 02:00:00
17105,False,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-05-01 02:00:00
17112,False,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-05-08 02:00:00
17125,False,h,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '260', 'title': 'Spezia', 'short_title': 'SPE'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-05-15 02:00:00
17131,False,a,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2022-05-22 02:00:00
