id,isResult,side,h,a,goals,xG,datetime,forecast,result
4979,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '1'}","{'h': '1.0302', 'a': '0.991664'}",2015-01-18 11:30:00,"{'w': 0.3568416091251467, 'd': 0.3064094899180964, 'l': 0.3367489009560352}",w
4996,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '1'}","{'h': '2.93897', 'a': '0.574542'}",2015-01-26 20:00:00,"{'w': 0.8480091742930087, 'd': 0.10576854936362803, 'l': 0.04622175518962015}",w
4922,True,a,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '2'}","{'h': '0.590066', 'a': '1.57003'}",2015-02-01 14:00:00,"{'w': 0.13759924867785445, 'd': 0.24958563895999863, 'l': 0.6128151122090999}",w
4933,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '3', 'a': '1'}","{'h': '0.886946', 'a': '0.33825'}",2015-02-08 14:00:00,"{'w': 0.4755747456361558, 'd': 0.38864610130690835, 'l': 0.13577915305688068}",w
4938,True,a,"{'id': '100', 'title': 'Palermo', 'short_title': 'PAL'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '3', 'a': '1'}","{'h': '0.911378', 'a': '0.362823'}",2015-02-14 19:45:00,"{'w': 0.4775803267739087, 'd': 0.38005854339198375, 'l': 0.14236112983402646}",l
4953,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '0'}","{'h': '1.09645', 'a': '0.298579'}",2015-02-23 18:00:00,"{'w': 0.5637797522413359, 'd': 0.33584509070534113, 'l': 0.10037515705223168}",w
4887,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '0'}","{'h': '0.963003', 'a': '0.727542'}",2015-03-01 19:45:00,"{'w': 0.39671894159833276, 'd': 0.33810042748745023, 'l': 0.2651806309140373}",l
4896,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '2'}","{'h': '1.46206', 'a': '1.48015'}",2015-03-08 19:45:00,"{'w': 0.3731354915251632, 'd': 0.24570319212526123, 'l': 0.3811613162227155}",d
4904,True,a,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '2', 'a': '0'}","{'h': '1.73297', 'a': '0.597828'}",2015-03-15 17:00:00,"{'w': 0.6494940308712784, 'd': 0.22723041762313886, 'l': 0.12327555092726464}",l
4917,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '1'}","{'h': '1.61955', 'a': '0.740525'}",2015-03-22 19:45:00,"{'w': 0.5842065001653208, 'd': 0.24647455781886468, 'l': 0.1693189417829552}",d
4829,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '0'}","{'h': '1.22732', 'a': '0.975768'}",2015-04-04 11:30:00,"{'w': 0.419073168009552, 'd': 0.28803802474785345, 'l': 0.29288880723714167}",l
4845,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '3', 'a': '0'}","{'h': '1.1947', 'a': '0.253949'}",2015-04-12 14:00:00,"{'w': 0.6099848894993817, 'd': 0.3117414630949467, 'l': 0.07827364740206497}",w
4858,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '3'}","{'h': '0.521935', 'a': '1.05458'}",2015-04-19 17:00:00,"{'w': 0.18051362496597775, 'd': 0.337109611321331, 'l': 0.48237676371205856}",w
4870,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '102', 'title': 'Sampdoria', 'short_title': 'SAM'}","{'h': '4', 'a': '2'}","{'h': '2.34955', 'a': '0.274328'}",2015-04-26 19:45:00,"{'w': 0.8419314311520747, 'd': 0.12735813243792704, 'l': 0.03071040506845814}",w
4880,True,a,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '4', 'a': '2'}","{'h': '1.19679', 'a': '1.0197'}",2015-04-30 19:45:00,"{'w': 0.40010739128271106, 'd': 0.28852330376328755, 'l': 0.3113693049499118}",l
4786,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '3', 'a': '0'}","{'h': '3.13346', 'a': '0.112051'}",2015-05-03 19:45:00,"{'w': 0.9406655975039577, 'd': 0.05387204788524156, 'l': 0.0054612163356219}",w
4795,True,a,"{'id': '204', 'title': 'Parma', 'short_title': 'PAR'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '2', 'a': '2'}","{'h': '1.30038', 'a': '1.45305'}",2015-05-10 17:00:00,"{'w': 0.33794784759731117, 'd': 0.25441355182921416, 'l': 0.4076386005083959}",d
4808,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '203', 'title': 'Cesena', 'short_title': 'CES'}","{'h': '3', 'a': '2'}","{'h': '1.92107', 'a': '0.513771'}",2015-05-18 20:00:00,"{'w': 0.7121630298980782, 'd': 0.19791034614071615, 'l': 0.08992662168386673}",w
4809,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '3', 'a': '1'}","{'h': '1.70377', 'a': '1.96746'}",2015-05-23 17:00:00,"{'w': 0.3395915046573611, 'd': 0.21524182987763413, 'l': 0.44516666188463827}",l
4824,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '2', 'a': '4'}","{'h': '2.95673', 'a': '1.64202'}",2015-05-31 19:45:00,"{'w': 0.6451276350708922, 'd': 0.1621023139490912, 'l': 0.1927694895563857}",l
