match_id,date,player_id,player,home_team,away_team,is_home,season,month,day,hour,week_day,position,target
14116,2020-09-19,1555,Bartlomiej Dragowski,Fiorentina,Torino,1,2020,9,19,16,5,GK,0.0
14116,2020-09-19,1942,Martín Cáceres,Fiorentina,Torino,1,2020,9,19,16,5,DC,0.0
14116,2020-09-19,1370,Federico Ceccherini,Fiorentina,Torino,1,2020,9,19,16,5,DC,0.0
14116,2020-09-19,6174,Nikola Milenkovic,Fiorentina,Torino,1,2020,9,19,16,5,DC,0.0
14116,2020-09-19,1433,Federico Chiesa,Fiorentina,Torino,1,2020,9,19,16,5,DMR,1.0
14116,2020-09-19,1164,Cristiano Biraghi,Fiorentina,Torino,1,2020,9,19,16,5,DML,0.0
14116,2020-09-19,1474,Alfred Duncan,Fiorentina,Torino,1,2020,9,19,16,5,MC,0.0
14116,2020-09-19,1121,Giacomo Bonaventura,Fiorentina,Torino,1,2020,9,19,16,5,MC,0.0
14116,2020-09-19,7909,Gaetano Castrovilli,Fiorentina,Torino,1,2020,9,19,16,5,MC,3.0
14116,2020-09-19,329,Franck Ribéry,Fiorentina,Torino,1,2020,9,19,16,5,FW,0.0
14116,2020-09-19,7091,Christian Kouamé,Fiorentina,Torino,1,2020,9,19,16,5,FW,0.0
14116,2020-09-19,3301,Salvatore Sirigu,Fiorentina,Torino,0,2020,9,19,16,5,GK,0.0
14116,2020-09-19,1096,Armando Izzo,Fiorentina,Torino,0,2020,9,19,16,5,DR,0.0
14116,2020-09-19,6960,Bremer,Fiorentina,Torino,0,2020,9,19,16,5,DC,0.0
14116,2020-09-19,3387,Nicolas N&#039;Koulou,Fiorentina,Torino,0,2020,9,19,16,5,DC,0.0
14116,2020-09-19,1515,Cristian Ansaldi,Fiorentina,Torino,0,2020,9,19,16,5,DL,0.0
14116,2020-09-19,1099,Tomás Rincón,Fiorentina,Torino,0,2020,9,19,16,5,MC,0.0
14116,2020-09-19,3739,Soualiho Meité,Fiorentina,Torino,0,2020,9,19,16,5,MC,0.0
14116,2020-09-19,1226,Karol Linetty,Fiorentina,Torino,0,2020,9,19,16,5,MC,0.0
14116,2020-09-19,5091,Alex Berenguer,Fiorentina,Torino,0,2020,9,19,16,5,AMC,0.0
14116,2020-09-19,1642,Simone Zaza,Fiorentina,Torino,0,2020,9,19,16,5,FW,0.0
14116,2020-09-19,1186,Andrea Belotti,Fiorentina,Torino,0,2020,9,19,16,5,FW,0.0
14116,2020-09-19,1537,Sasa Lukic,Fiorentina,Torino,0,2020,9,19,16,5,Sub,0.0
14116,2020-09-19,1445,Simone Verdi,Fiorentina,Torino,0,2020,9,19,16,5,Sub,0.0
14117,2020-09-19,6132,Marco Silvestri,Verona,Roma,1,2020,9,19,18,5,GK,0.0
14117,2020-09-19,8007,Yildirim Mert Cetin,Verona,Roma,1,2020,9,19,18,5,DC,0.0
14117,2020-09-19,7092,Koray Günter,Verona,Roma,1,2020,9,19,18,5,DC,0.0
14117,2020-09-19,7929,Alan Empereur,Verona,Roma,1,2020,9,19,18,5,DC,0.0
14117,2020-09-19,3978,Marco Faraoni,Verona,Roma,1,2020,9,19,18,5,DMR,0.0
14117,2020-09-19,1324,Federico Dimarco,Verona,Roma,1,2020,9,19,18,5,DML,0.0
14117,2020-09-19,6375,Andrea Danzi,Verona,Roma,1,2020,9,19,18,5,MC,0.0
14117,2020-09-19,1098,Miguel Veloso,Verona,Roma,1,2020,9,19,18,5,MC,0.0
14117,2020-09-19,2042,Lubomir Tupta,Verona,Roma,1,2020,9,19,18,5,AMC,0.0
14117,2020-09-19,5996,Adrien Tameze,Verona,Roma,1,2020,9,19,18,5,AMC,0.0
14117,2020-09-19,8035,Samuel Di Carmine,Verona,Roma,1,2020,9,19,18,5,FW,0.0
14117,2020-09-19,8827,Kevin Rüegg,Verona,Roma,1,2020,9,19,18,5,Sub,0.0
14117,2020-09-19,1958,Mattia Zaccagni,Verona,Roma,1,2020,9,19,18,5,Sub,0.0
14117,2020-09-19,8522,Matteo Lovato,Verona,Roma,1,2020,9,19,18,5,Sub,0.0
14117,2020-09-19,6208,Antonin Barak,Verona,Roma,1,2020,9,19,18,5,Sub,0.0
14117,2020-09-19,1609,Antonio Mirante,Verona,Roma,0,2020,9,19,18,5,GK,0.0
14117,2020-09-19,1168,Bryan Cristante,Verona,Roma,0,2020,9,19,18,5,DC,0.0
14117,2020-09-19,6159,Gianluca Mancini,Verona,Roma,0,2020,9,19,18,5,DC,0.0
14117,2020-09-19,7413,Ibañez,Verona,Roma,0,2020,9,19,18,5,DC,0.0
14117,2020-09-19,6362,Rick Karsdorp,Verona,Roma,0,2020,9,19,18,5,DMR,0.0
14117,2020-09-19,1500,Leonardo Spinazzola,Verona,Roma,0,2020,9,19,18,5,DML,0.0
14117,2020-09-19,1380,Amadou Diawara,Verona,Roma,0,2020,9,19,18,5,MC,0.0
14117,2020-09-19,677,Jordan Veretout,Verona,Roma,0,2020,9,19,18,5,MC,0.0
14117,2020-09-19,1471,Lorenzo Pellegrini,Verona,Roma,0,2020,9,19,18,5,AMC,0.0
14117,2020-09-19,687,Pedro,Verona,Roma,0,2020,9,19,18,5,AMC,0.0
14117,2020-09-19,317,Henrikh Mkhitaryan,Verona,Roma,0,2020,9,19,18,5,FW,0.0
14117,2020-09-19,1509,Davide Santon,Verona,Roma,0,2020,9,19,18,5,Sub,0.0
14118,2020-09-20,1392,Luigi Sepe,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,GK,0.0
14118,2020-09-20,557,Matteo Darmian,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,DR,0.0
14118,2020-09-20,1399,Bruno Alves,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,DC,0.0
14118,2020-09-20,6989,Simone Iacoponi,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,DC,0.0
14118,2020-09-20,1281,Giuseppe Pezzella,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,DL,0.0
14118,2020-09-20,1165,Gastón Brugman,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,DMC,0.0
14118,2020-09-20,5509,Hernani,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,MC,0.0
14118,2020-09-20,1504,Alberto Grassi,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,MC,0.0
14118,2020-09-20,1123,Juraj Kucka,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,AMC,0.0
14118,2020-09-20,6156,Andreas Cornelius,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,FW,0.0
14118,2020-09-20,1340,Roberto Inglese,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,FW,0.0
14118,2020-09-20,2005,Jacopo Dezi,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,Sub,0.0
14118,2020-09-20,5700,Yann Karamoh,Parma Calcio 1913,Napoli,1,2020,9,20,10,6,Sub,0.0
14118,2020-09-20,505,David Ospina,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,GK,0.0
14118,2020-09-20,6978,Giovanni Di Lorenzo,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,DR,0.0
14118,2020-09-20,1376,Kalidou Koulibaly,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,DC,0.0
14118,2020-09-20,1246,Kostas Manolas,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,DC,0.0
14118,2020-09-20,1375,Elseid Hysaj,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,DL,0.0
14118,2020-09-20,1386,Piotr Zielinski,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,MC,0.0
14118,2020-09-20,2447,Fabián,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,MC,0.0
14118,2020-09-20,5246,Diego Demme,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,MC,0.0
14118,2020-09-20,7999,Hirving Lozano,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,FWR,0.0
14118,2020-09-20,1384,Dries Mertens,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,FW,3.0
14118,2020-09-20,1393,Lorenzo Insigne,Parma Calcio 1913,Napoli,0,2020,9,20,10,6,FWL,3.0
