goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,59,MC,Udinese,Carpi,1,2,2016-05-15,928,2015,114158,0.3225010931491852,1,1,0,0,0.38449591398239136,0.06199480593204498
0,0,0,23,Sub,Carpi,Lazio,1,3,2016-05-08,918,2015,113647,0.08776748180389404,0,1,0,0,0.1418071836233139,0.1418071836233139
0,0,0,77,MC,Juventus,Carpi,2,0,2016-05-01,903,2015,113042,0.11785684525966644,0,1,0,0,0.11785684525966644,0
0,0,0,55,MC,Carpi,Empoli,1,0,2016-04-25,900,2015,112443,0.028397468850016594,0,1,0,0,0.07545178383588791,0.047054313123226166
0,2,0.10038722306489944,90,MC,AC Milan,Carpi,0,0,2016-04-21,890,2015,111928,0.02108921855688095,0,1,0,0.10038722306489944,0.1214764416217804,0
0,1,0.055546365678310394,6,Sub,Carpi,Genoa,4,1,2016-04-16,872,2015,111392,0,0,0,0,0.055546365678310394,0.055546365678310394,0
0,0,0,21,Sub,Chievo,Carpi,1,0,2016-04-09,863,2015,110821,0.13525113463401794,0,1,0,0,0.13525113463401794,0
0,1,0.03174975514411926,36,Sub,Verona,Carpi,1,2,2016-03-20,844,2015,109677,0,0,0,0,0.03174975514411926,0.03174975514411926,0
0,1,0.047296132892370224,20,Sub,Carpi,Frosinone,2,1,2016-03-13,836,2015,109132,0,0,0,0,0.047296132892370224,0.047296132892370224,0
0,0,0,90,MC,Bologna,Carpi,0,0,2016-03-06,828,2015,108526,0.047749049961566925,0,1,0,0,0.04290664196014404,0.04290664196014404
0,0,0,51,AMC,Torino,Carpi,0,0,2016-02-21,807,2015,107414,0,0,0,0,0,0,0
0,1,0.027538523077964783,90,MC,Carpi,Roma,1,3,2016-02-12,792,2015,106675,0,0,0,0,0.027538523077964783,0.027538523077964783,0
0,0,0,90,MC,Napoli,Carpi,1,0,2016-02-07,786,2015,105489,0,0,0,0,0,0.049414921551942825,0.049414921551942825
0,0,0,72,MC,Fiorentina,Carpi,2,1,2016-02-03,773,2015,106187,0,0,0,0,0,0.5174292325973511,0.5174292325973511
0,0,0,18,Sub,Carpi,Palermo,1,1,2016-01-30,761,2015,105508,0.13128335773944855,0,2,0,0,0.06191681697964668,0.06191681697964668
0,1,0.04442976415157318,90,MC,Inter,Carpi,1,1,2016-01-24,755,2015,104736,0,0,0,0,0.04442976415157318,0.04442976415157318,0
0,0,0,23,Sub,Carpi,Sampdoria,2,1,2016-01-17,748,2015,105089,0,0,0,0,0,0.060181163251399994,0.060181163251399994
0,0,0,23,Sub,Carpi,Udinese,2,1,2016-01-09,730,2015,113869,0,0,0,0,0,0,0
0,0,0,20,Sub,Lazio,Carpi,0,0,2016-01-06,726,2015,113381,0,0,0,0,0,0,0
0,0,0,47,MC,Lazio,Bologna,2,1,2015-08-22,552,2015,103956,0,0,0,0,0,0,0
