goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,90,DC,Napoli,Frosinone,4,0,2016-05-14,924,2015,114208,0,0,0,0,0,0,0
0,2,0.20912101864814758,90,DC,Frosinone,Palermo,0,2,2016-04-24,892,2015,112605,0.056018147617578506,0,1,0,0.20912101864814758,0.4104083776473999,0.3543902337551117
0,0,0,69,Sub,Chievo,Frosinone,5,1,2016-04-20,886,2015,111989,0,0,0,0,0,0,0
0,1,0.1422368437051773,80,DC,Frosinone,Inter,0,1,2016-04-09,861,2015,110909,0,0,0,0,0.1422368437051773,0,0
0,0,0,90,DC,Genoa,Frosinone,4,0,2016-04-03,857,2015,110224,0,0,0,0,0,0,0
0,0,0,90,DC,Frosinone,Fiorentina,0,0,2016-03-20,846,2015,109709,0,0,0,0,0,0.06207223981618881,0.06207223981618881
1,5,0.41313549876213074,90,DC,Frosinone,Udinese,2,0,2016-03-06,829,2015,108759,0,0,0,1,0.41313549876213074,0.12361190468072891,0.053074974566698074
0,0,0,85,DC,Sampdoria,Frosinone,2,0,2016-02-28,814,2015,108020,0.03977591544389725,0,1,0,0,0.07609675079584122,0.03632083907723427
0,0,0,90,DC,Frosinone,Lazio,0,0,2016-02-21,808,2015,107533,0,0,0,0,0,0.098438560962677,0.098438560962677
0,0,0,90,DC,Empoli,Frosinone,1,2,2016-02-13,793,2015,107018,0,0,0,0,0,0.040072835981845856,0.040072835981845856
0,0,0,90,DC,Frosinone,Juventus,0,2,2016-02-07,784,2015,105749,0,0,0,0,0,0.15800902247428894,0.15800902247428894
0,1,0.010009665042161942,90,DC,Frosinone,Bologna,1,0,2016-02-03,772,2015,106140,0,0,0,0,0.010009665042161942,0.06528922915458679,0.05527956783771515
0,1,0.03414372727274895,90,DC,Roma,Frosinone,3,1,2016-01-30,763,2015,105232,0,0,0,0,0.03414372727274895,0.03414372727274895,0
0,1,0.06454852223396301,90,DC,Frosinone,Atalanta,0,0,2016-01-23,751,2015,104605,0,0,0,0,0.06454852223396301,0,0
0,0,0,90,DC,Frosinone,Napoli,1,5,2016-01-10,737,2015,113915,0.017015280202031136,0,1,0,0,0.11324422806501389,0.0962289497256279
0,1,0.035065099596977234,90,DC,Frosinone,AC Milan,2,4,2015-12-20,718,2015,112801,0,0,0,0,0.035065099596977234,0.01043923944234848,0.01043923944234848
0,0,0,90,DC,Palermo,Frosinone,4,1,2015-12-12,702,2015,112342,0,0,0,0,0,0.3910307288169861,0.3910307288169861
0,0,0,64,DC,Frosinone,Verona,3,2,2015-11-29,684,2015,111076,0,0,0,0,0,0,0
0,0,0,90,DC,Inter,Frosinone,4,0,2015-11-22,680,2015,110644,0,0,0,0,0,0,0
1,3,0.2924630641937256,90,DC,Frosinone,Genoa,2,2,2015-11-08,668,2015,109930,0.6258717179298401,1,1,1,0.2924630641937256,0.015623717568814754,0.015623717568814754
0,0,0,90,DC,Frosinone,Carpi,2,1,2015-10-28,642,2015,108842,0,0,0,0,0,0.05888049677014351,0.05888049677014351
0,0,0,90,DC,Frosinone,Sampdoria,2,0,2015-10-18,624,2015,107727,0,0,0,0,0,0.1813526153564453,0.1813526153564453
0,1,0.39056792855262756,90,DC,Lazio,Frosinone,2,0,2015-10-04,618,2015,107268,0,0,0,0,0.39056792855262756,0.033614616841077805,0.033614616841077805
0,1,0.08825147897005081,90,DC,Frosinone,Empoli,2,0,2015-09-28,609,2015,106642,0,0,0,0,0.08825147897005081,0,0
1,2,0.14068825542926788,90,DC,Juventus,Frosinone,1,1,2015-09-23,599,2015,106545,0,0,0,1,0.14068825542926788,0,0
0,2,0.10469473153352737,90,DC,Bologna,Frosinone,1,0,2015-09-20,588,2015,105735,0,0,0,0,0.10469473153352737,0.09090152382850647,0.09090152382850647
0,0,0,90,DC,Frosinone,Roma,0,2,2015-09-12,572,2015,104383,0,0,0,0,0,0.03647676855325699,0.03647676855325699
0,1,0.4818897843360901,90,DC,Atalanta,Frosinone,2,0,2015-08-30,570,2015,104061,0,0,0,0,0.4818897843360901,0.07435906678438187,0.07435906678438187
