goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.038613513112068176,90,DML,Inter,Torino,1,0,2021-12-22,16939,2021,504618,0,0,0,0,0.038613513112068176,0.11764451861381531,0.07903100550174713
0,0,0,9,Sub,Torino,Verona,1,0,2021-12-19,16935,2021,504216,0,0,0,0,0,0,0
0,0,0,88,DMR,Cagliari,Torino,1,1,2021-12-06,16907,2021,501125,0,0,0,0,0,0.23799225687980652,0.23799225687980652
0,1,0.07270945608615875,90,DML,Torino,Empoli,2,2,2021-12-02,16905,2021,499379,0.028434619307518005,0,1,0,0.07270945608615875,0.2400262951850891,0.13888221979141235
0,0,0,64,DMR,Torino,Udinese,2,1,2021-11-22,16885,2021,496865,0.10099761933088303,0,2,0,0,0.14173123240470886,0.040733616799116135
0,1,0.016960322856903076,90,DML,Spezia,Torino,1,0,2021-11-06,16873,2021,493829,0,0,0,0,0.016960322856903076,0.0892091765999794,0.0892091765999794
0,0,0,86,DML,Torino,Sampdoria,3,0,2021-10-30,16865,2021,492629,0,0,0,0,0,0.45662519335746765,0.45662519335746765
0,0,0,80,DML,AC Milan,Torino,1,0,2021-10-26,16850,2021,491251,0.046224359422922134,0,1,0,0,0.1843767762184143,0.1843767762184143
0,0,0,18,Sub,Torino,Genoa,3,2,2021-10-22,16845,2021,489464,0,0,0,0,0,0,0
0,1,0.08119495213031769,90,ML,Napoli,Torino,1,0,2021-10-17,16832,2021,489140,0.022562768310308456,0,1,0,0.08119495213031769,0.16066330671310425,0.0569055937230587
0,0,0,65,DML,Torino,Juventus,0,1,2021-10-02,16825,2021,486666,0.4364761412143707,0,1,0,0,0.6161115169525146,0.17963539063930511
0,0,0,64,DML,Torino,Lazio,1,1,2021-09-23,16805,2021,484157,0.47748681902885437,0,3,0,0,0.5232333540916443,0.06071935221552849
0,1,0.015615145675837994,53,DML,Sassuolo,Torino,0,1,2021-09-17,16793,2021,481684,0.2973197400569916,0,1,0,0.015615145675837994,0.31293490529060364,0.2973197400569916
0,0,0,11,Sub,Torino,Salernitana,4,0,2021-09-12,16785,2021,480939,0,0,0,0,0,0.23590821027755737,0.23590821027755737
0,0,0,83,ML,Fiorentina,Torino,2,1,2021-08-28,16770,2021,479260,0.046746768057346344,0,1,0,0,0.046746768057346344,0
0,2,0.049250002950429916,90,DML,Torino,Atalanta,1,2,2021-08-21,16758,2021,477352,0.10109756141901016,0,1,0,0.049250002950429916,0.2927905321121216,0.1424429565668106
