goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,6,Sub,Juventus,Cagliari,2,0,2021-12-21,16940,2021,504441,0,0,0,0,0,0,0
0,0,0,42,Sub,Cagliari,Udinese,0,4,2021-12-18,16928,2021,503886,0,0,0,0,0,0,0
0,0,0,70,FW,Inter,Cagliari,4,0,2021-12-12,16919,2021,502756,0.04852618649601936,0,1,0,0,0.14338891208171844,0.09486272186040878
0,1,0.058174826204776764,64,FW,Cagliari,Torino,1,1,2021-12-06,16907,2021,501116,0,0,0,0,0.058174826204776764,0.058174826204776764,0
0,1,0.015785308554768562,74,FW,Verona,Cagliari,0,0,2021-11-30,16900,2021,498693,0.07127601653337479,0,1,0,0.015785308554768562,0.1154467985033989,0.028385471552610397
0,2,0.17995531857013702,87,FW,Cagliari,Salernitana,1,1,2021-11-26,16886,2021,496964,0.08287061750888824,0,2,0,0.17995531857013702,0.3110896348953247,0.04826370254158974
1,1,0.048787735402584076,84,AML,Sassuolo,Cagliari,2,2,2021-11-21,16884,2021,496192,0,0,0,1,0.048787735402584076,0,0
0,0,0,6,Sub,Cagliari,Roma,1,2,2021-10-27,16846,2021,491525,0,0,0,0,0,0,0
0,0,0,60,FW,Fiorentina,Cagliari,3,0,2021-10-24,16838,2021,490498,0.0823156014084816,0,1,0,0,0.0823156014084816,0.0823156014084816
0,2,0.23937666416168213,89,FW,Cagliari,Sampdoria,3,1,2021-10-17,16826,2021,488522,0.5391443967819214,1,1,0,0.23937666416168213,0.8590516448020935,0.0805305764079094
1,1,0.47179466485977173,67,FW,Cagliari,Venezia,1,1,2021-10-01,16818,2021,486078,0,0,0,1,0.47179466485977173,0.47179466485977173,0
0,0,0,22,Sub,Napoli,Cagliari,2,0,2021-09-26,16815,2021,485855,0,0,0,0,0,0,0
0,3,0.21572381258010864,90,FW,Cagliari,Empoli,0,2,2021-09-22,16798,2021,483852,0.012347348965704441,0,1,0,0.21572381258010864,0.325395405292511,0.09732425957918167
1,3,1.2728161811828613,76,FW,Lazio,Cagliari,2,2,2021-09-19,16791,2021,482999,0,0,0,1,1.2728161811828613,1.2728161811828613,0
0,1,0.10387034714221954,67,FW,Cagliari,Genoa,2,3,2021-09-12,16778,2021,481029,0,0,0,0,0.10387034714221954,0.12923717498779297,0.025366831570863724
