goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.03495411574840546,90,MC,Atalanta,Chievo,1,0,2017-05-27,3712,2016,171339,0.45440974831581116,1,2,0,0.03495411574840546,1.1627249717712402,0.6733611226081848
0,4,0.1791369616985321,85,AMC,Atalanta,AC Milan,1,1,2017-05-13,3697,2016,170366,0.5585724115371704,0,2,0,0.1791369616985321,0.23150615394115448,0.09392514824867249
1,1,0.04468627646565437,90,MC,Udinese,Atalanta,1,1,2017-05-07,3682,2016,169679,0.23718133568763733,0,3,1,0.04468627646565437,0.1345924586057663,0.02057722769677639
0,2,0.04810206592082977,90,MC,Atalanta,Juventus,2,2,2017-04-28,3674,2016,169164,0.013057059608399868,0,1,0,0.04810206592082977,0.08487985283136368,0.02372072823345661
0,0,0,69,Sub,Atalanta,Bologna,3,2,2017-04-22,3662,2016,168559,0.55122309923172,1,1,0,0,0,0
0,0,0,54,MC,Roma,Atalanta,1,1,2017-04-15,3652,2016,168007,0,0,0,0,0,0.08488105982542038,0.08488105982542038
1,1,0.4662817716598511,90,MC,Atalanta,Sassuolo,1,1,2017-04-08,3650,2016,167656,0.2603278160095215,0,2,1,0.4662817716598511,0.17214319109916687,0.17214319109916687
0,2,0.23260065913200378,63,MC,Atalanta,Pescara,3,0,2017-03-19,3630,2016,166538,0,0,0,0,0.23260065913200378,0.13246631622314453,0.13246631622314453
0,0,0,4,Sub,Napoli,Atalanta,0,2,2017-02-25,3592,2016,164383,0,0,0,0,0,0,0
0,0,0,1,Sub,Atalanta,Crotone,1,0,2017-02-18,3583,2016,164089,0,0,0,0,0,0,0
1,1,0.3815196454524994,19,Sub,Palermo,Atalanta,1,3,2017-02-12,3578,2016,163545,0,0,0,1,0.3815196454524994,0.3815196454524994,0
0,1,0.5372852087020874,9,Sub,Atalanta,Cagliari,2,0,2017-02-05,3565,2016,162972,0,0,0,0,0.5372852087020874,0.5372852087020874,0.5372852087020874
0,1,0.0573529414832592,90,MC,Pescara,Sassuolo,1,3,2017-01-22,3545,2016,162044,0.23031896352767944,0,3,0,0.0573529414832592,0.23667995631694794,0.006360992323607206
0,1,0.02495274506509304,90,MC,Napoli,Pescara,3,1,2017-01-15,3535,2016,161534,0,0,0,0,0.02495274506509304,0.02495274506509304,0
0,0,0,13,Sub,Palermo,Pescara,1,1,2016-12-22,3099,2016,170693,0,0,0,0,0,0.037196625024080276,0.037196625024080276
0,0,0,42,Sub,Pescara,Bologna,0,3,2016-12-18,3093,2016,170147,0,0,0,0,0,0.12123694270849228,0.12123694270849228
0,0,0,11,Sub,Roma,Pescara,3,2,2016-11-27,2773,2016,168377,0,0,0,0,0,0,0
0,0,0,77,MC,Juventus,Pescara,3,0,2016-11-19,2758,2016,167866,0.0867917537689209,0,1,0,0,0.20466609299182892,0.20466609299182892
0,3,0.13863037526607513,33,Sub,AC Milan,Pescara,1,0,2016-10-30,3294,2016,166811,0.23817729949951172,0,2,0,0.13863037526607513,0.43350228667259216,0.05669460818171501
0,0,0,30,Sub,Pescara,Atalanta,0,1,2016-10-26,3287,2016,166265,0.01737784408032894,0,1,0,0,0.01737784408032894,0.01737784408032894
0,4,0.11514217406511307,76,MC,Udinese,Pescara,3,1,2016-10-23,1012,2016,165746,0,0,0,0,0.11514217406511307,0.25672194361686707,0.1415797770023346
0,0,0,90,MC,Pescara,Sampdoria,1,1,2016-10-15,1001,2016,165144,0,0,0,0,0,0.10030309110879898,0.10030309110879898
0,0,0,16,Sub,Pescara,Chievo,0,2,2016-10-01,990,2016,164676,0.014623558148741722,0,1,0,0,0.014623558148741722,0
0,2,0.12459202110767365,64,MC,Pescara,Torino,0,0,2016-09-21,976,2016,163441,0.06534174829721451,0,2,0,0.12459202110767365,0.18993377685546875,0.06534174829721451
0,1,0.01704493537545204,74,MC,Lazio,Pescara,3,0,2016-09-17,961,2016,162811,0,0,0,0,0.01704493537545204,0.01704493537545204,0
0,1,0.41925814747810364,90,MC,Pescara,Inter,1,2,2016-09-11,958,2016,162353,0.04316357523202896,0,2,0,0.41925814747810364,1.181855320930481,0.7395215034484863
0,0,0,90,MC,Sassuolo,Pescara,2,1,2016-08-28,945,2016,161782,0.05794082581996918,0,3,0,0,0.08579933643341064,0.051404017955064774
0,1,0.009123769588768482,90,MC,Pescara,Napoli,2,2,2016-08-21,935,2016,161239,0.06584402173757553,0,1,0,0.009123769588768482,0.595001220703125,0.5200334191322327
