goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,2,0.05515383929014206,90,MC,Genoa,Juventus,3,1,2016-11-27,2771,2016,168540,0,0,0,0,0.05515383929014206,0.12973462045192719,0.11044309288263321
1,3,0.07501257956027985,90,MC,Juventus,Pescara,3,0,2016-11-19,2758,2016,167853,0,0,0,1,0.07501257956027985,0.18530043959617615,0.1102878600358963
0,3,0.16260461509227753,90,MC,Chievo,Juventus,1,2,2016-11-06,2750,2016,167167,0,0,0,0,0.16260461509227753,0.13110537827014923,0.10063544660806656
0,4,0.0767175629734993,77,MC,Juventus,Napoli,2,1,2016-10-29,3291,2016,166736,0,0,0,0,0.0767175629734993,0.19284170866012573,0.11612415313720703
0,2,0.031485769897699356,90,MC,AC Milan,Juventus,1,0,2016-10-22,1011,2016,165633,0.07363978773355484,0,2,0,0.031485769897699356,0.16776755452156067,0.08316817134618759
0,1,0.03022245317697525,90,MC,Juventus,Udinese,2,1,2016-10-15,1002,2016,165033,0,0,0,0,0.03022245317697525,0.17916180193424225,0.17916180193424225
0,0,0,90,MC,Empoli,Juventus,0,3,2016-10-02,992,2016,164573,0.37119001150131226,0,1,0,0,1.3960222005844116,1.0248321294784546
0,2,0.03751760348677635,90,MC,Juventus,Cagliari,4,0,2016-09-21,975,2016,163386,0.4159715473651886,0,3,0,0.03751760348677635,1.000946283340454,0.5774961709976196
0,0,0,18,Sub,Juventus,Sassuolo,3,1,2016-09-10,951,2016,162274,0,0,0,0,0,0.07976870983839035,0.07976870983839035
0,0,0,1,Sub,Juventus,Fiorentina,2,1,2016-08-20,932,2016,161161,0,0,0,0,0,0,0
