,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
183,2015,558,1912,Paul-José M&#039;Poku,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765,2015,583,1912,Paul-José M&#039;Poku,h,Sub,48.0,0.0,0.0,1.0,0.0,0.0,0.3246853053569793,0.0,0.0,0.974055916070938,0.0
2204,2015,644,1912,Paul-José M&#039;Poku,a,Sub,63.0,0.0,0.0,1.0,1.0,0.0,0.3246853053569793,0.0,0.0,0.474055916070938,0.0
4610,2015,747,1912,Paul-José M&#039;Poku,h,Sub,86.0,0.0,0.0,1.0,1.0,0.0,0.3246853053569793,0.0995802730321884,0.0,0.5736361891031264,0.0
4879,2015,758,1912,Paul-José M&#039;Poku,a,Sub,103.0,0.0,0.0,2.0,1.0,0.0,0.3886622339487075,0.0995802730321884,0.0,0.765566974878311,0.0
5003,2015,764,1912,Paul-José M&#039;Poku,h,FW,118.0,0.0,0.0,2.0,1.0,0.0,0.3886622339487075,0.16983584314584732,0.0,0.83582254499197,0.0
5250,2015,774,1912,Paul-José M&#039;Poku,a,Sub,191.0,0.0,0.0,4.0,1.0,0.0,0.43504560366272915,0.2651147469878196,0.0,1.0702515579760075,0.0
5554,2015,787,1912,Paul-José M&#039;Poku,a,FW,209.0,0.0,0.0,5.0,1.0,0.0,0.48118679970502837,0.2651147469878196,0.0,1.2086751461029053,0.0
5710,2015,794,1912,Paul-José M&#039;Poku,h,Sub,274.0,0.0,0.0,6.0,1.0,0.0,0.49645320046693064,0.3550356104969977,0.0,1.3443952118977904,0.0
5906,2015,802,1912,Paul-José M&#039;Poku,a,Sub,328.0,0.0,0.0,9.0,1.0,0.0,0.6305380808189509,0.3979202099144457,0.0,1.7895344523712993,0.0
6193,2015,815,1912,Paul-José M&#039;Poku,h,FWL,371.0,0.0,0.0,12.0,1.0,0.0,0.7193249063566324,0.4559617042541502,0.0,2.1139364233240485,0.0
6394,2015,823,1912,Paul-José M&#039;Poku,a,FWL,461.0,0.0,0.0,13.0,1.0,0.0,0.7562474729493257,1.0720286369323728,0.0,2.840771055780351,0.0
8493,2015,913,1912,Paul-José M&#039;Poku,a,Sub,551.0,0.0,0.0,15.0,1.0,0.0,0.8078388804569837,1.1261986605823038,0.0,3.049715301953256,0.0
8809,2015,927,1912,Paul-José M&#039;Poku,h,AMC,615.0,0.0,0.0,16.0,2.0,0.0,1.1158561641350384,1.1604935750365255,0.0,3.5080620674416423,0.0
