,season,matchId,team,homeTeam,awayTeam,goalsScored,goalsConceded,xGScored,xGConceded,time,date
6,2014,5152,AC Milan,AC Milan,Lazio,0,0,0.0,0.0,0,2014-08-31 17:00:00
37,2014,5117,AC Milan,Parma,AC Milan,3,1,2.01129,2.03815,90,2014-09-14 19:45:00
42,2014,5120,AC Milan,AC Milan,Juventus,8,5,5.78923,3.46834,180,2014-09-20 19:45:00
61,2014,5129,AC Milan,Empoli,AC Milan,8,6,6.070657,4.90943,270,2014-09-23 19:45:00
89,2014,5143,AC Milan,Cesena,AC Milan,10,8,6.653297,6.943490000000001,360,2014-09-28 14:00:00
102,2014,5070,AC Milan,AC Milan,Chievo,11,9,7.530005,8.07398,450,2014-10-04 19:45:00
129,2014,5083,AC Milan,Verona,AC Milan,13,9,9.130955,8.626232,540,2014-10-19 14:00:00
158,2014,5098,AC Milan,AC Milan,Fiorentina,16,10,11.309945,10.153682,630,2014-10-26 19:45:00
173,2014,5105,AC Milan,Cagliari,AC Milan,17,11,12.167232,10.513365,720,2014-10-29 19:45:00
194,2014,5037,AC Milan,AC Milan,Palermo,18,12,12.666955,12.441885000000001,810,2014-11-02 19:45:00
203,2014,5041,AC Milan,Sampdoria,AC Milan,18,14,13.788545,14.092555,900,2014-11-08 19:45:00
236,2014,5058,AC Milan,AC Milan,Inter,20,16,14.878475,16.302185,990,2014-11-23 19:45:00
246,2014,5063,AC Milan,AC Milan,Udinese,21,17,15.712589,17.061025,1080,2014-11-30 14:00:00
271,2014,5005,AC Milan,Genoa,AC Milan,23,17,18.154889,17.313552,1170,2014-12-07 14:00:00
294,2014,5017,AC Milan,AC Milan,Napoli,23,18,19.904699,18.213864,1260,2014-12-14 19:45:00
307,2014,5023,AC Milan,Roma,AC Milan,25,18,21.351049,19.321944000000002,1350,2014-12-20 19:45:00
324,2014,4959,AC Milan,AC Milan,Sassuolo,25,18,21.576798,20.377014000000003,1440,2015-01-06 14:00:00
343,2014,4968,AC Milan,Torino,AC Milan,26,20,22.457452,21.003465000000002,1530,2015-01-10 19:45:00
366,2014,4980,AC Milan,AC Milan,Atalanta,27,21,23.496432,23.861065000000004,1620,2015-01-18 14:00:00
383,2014,4988,AC Milan,Lazio,AC Milan,27,22,24.153557,24.788371000000005,1710,2015-01-24 19:45:00
418,2014,4926,AC Milan,AC Milan,Parma,28,25,24.258388,27.411921000000007,1800,2015-02-01 19:45:00
423,2014,4928,AC Milan,Juventus,AC Milan,31,26,26.306988,28.794361000000006,1890,2015-02-07 19:45:00
444,2014,4939,AC Milan,AC Milan,Empoli,32,29,26.631547,30.790931000000004,1980,2015-02-15 11:30:00
462,2014,4948,AC Milan,AC Milan,Cesena,33,30,27.537123,31.862791000000005,2070,2015-02-22 14:00:00
479,2014,4956,AC Milan,Chievo,AC Milan,35,30,28.791853,32.35772300000001,2160,2015-02-28 19:45:00
498,2014,4890,AC Milan,AC Milan,Verona,35,30,29.753221,32.870579000000006,2250,2015-03-07 19:45:00
533,2014,4907,AC Milan,Fiorentina,AC Milan,37,32,31.925761,34.422869000000006,2340,2015-03-16 18:00:00
538,2014,4910,AC Milan,AC Milan,Cagliari,38,34,32.716179000000004,36.18966900000001,2430,2015-03-21 19:45:00
563,2014,4832,AC Milan,Palermo,AC Milan,41,35,35.036539000000005,37.27851900000001,2520,2015-04-04 14:00:00
596,2014,4849,AC Milan,AC Milan,Sampdoria,43,36,36.757699,39.10837900000001,2610,2015-04-12 19:45:00
617,2014,4859,AC Milan,Inter,AC Milan,44,37,37.988449,39.666120000000014,2700,2015-04-19 19:45:00
621,2014,4861,AC Milan,Udinese,AC Milan,44,37,38.160158,41.16598000000001,2790,2015-04-25 17:00:00
654,2014,4878,AC Milan,AC Milan,Genoa,45,39,38.683498,42.59571000000001,2880,2015-04-29 19:45:00
675,2014,4786,AC Milan,Napoli,AC Milan,46,42,39.649908,45.61002000000001,2970,2015-05-03 19:45:00
682,2014,4790,AC Milan,AC Milan,Roma,46,45,39.761959000000004,48.74348000000001,3060,2015-05-09 19:45:00
705,2014,4801,AC Milan,Sassuolo,AC Milan,48,46,42.164909,50.22071000000001,3150,2015-05-17 11:30:00
736,2014,4817,AC Milan,AC Milan,Torino,50,49,42.892591,51.70441000000001,3240,2015-05-24 19:45:00
743,2014,4820,AC Milan,Atalanta,AC Milan,53,49,44.819641000000004,52.72236000000001,3330,2015-05-30 19:45:00
