,season,matchId,team,homeTeam,awayTeam,goalsScored,goalsConceded,xGScored,xGConceded,time,date
0,2014,5149,Chievo,Chievo,Juventus,0,0,0.0,0.0,0,2014-08-30 17:00:00
29,2014,5113,Chievo,Napoli,Chievo,0,1,0.502227,2.37394,90,2014-09-14 14:00:00
44,2014,5121,Chievo,Chievo,Parma,1,1,1.1697600000000001,4.57944,180,2014-09-21 11:30:00
77,2014,5137,Chievo,Sampdoria,Chievo,3,4,2.5189700000000004,5.513669,270,2014-09-24 19:45:00
90,2014,5144,Chievo,Chievo,Empoli,4,6,2.7896570000000005,7.296419,360,2014-09-28 14:00:00
103,2014,5070,Chievo,AC Milan,Chievo,5,7,3.6269790000000004,8.970439,450,2014-10-04 19:45:00
121,2014,5079,Chievo,Roma,Chievo,5,9,4.179231000000001,10.571389,540,2014-10-18 17:00:00
150,2014,5094,Chievo,Chievo,Genoa,5,12,4.503302000000001,11.964879,630,2014-10-26 14:00:00
167,2014,5102,Chievo,Palermo,Chievo,6,14,5.706962000000001,14.345209,720,2014-10-29 19:45:00
192,2014,5036,Chievo,Chievo,Sassuolo,6,15,6.151787000000001,15.771189,810,2014-11-02 14:00:00
206,2014,5043,Chievo,Chievo,Cesena,6,15,6.566938,16.217316,900,2014-11-09 14:00:00
227,2014,5053,Chievo,Udinese,Chievo,8,16,7.834878000000001,17.051653,990,2014-11-23 14:00:00
242,2014,5061,Chievo,Chievo,Lazio,9,17,9.215728,17.451554,1080,2014-11-29 19:45:00
277,2014,5008,Chievo,Cagliari,Chievo,9,17,9.556004,18.011462,1170,2014-12-08 18:00:00
298,2014,5019,Chievo,Chievo,Inter,11,17,10.536051,18.591417,1260,2014-12-15 20:00:00
309,2014,5024,Chievo,Verona,Chievo,11,19,11.362963,19.911917,1350,2014-12-21 11:30:00
334,2014,4964,Chievo,Chievo,Torino,12,19,12.102232,20.876811999999997,1440,2015-01-06 14:00:00
347,2014,4970,Chievo,Atalanta,Chievo,12,19,12.892951,21.117103999999998,1530,2015-01-11 14:00:00
370,2014,4982,Chievo,Chievo,Fiorentina,13,20,13.927231,22.057748999999998,1620,2015-01-18 14:00:00
391,2014,4992,Chievo,Juventus,Chievo,14,22,15.460491000000001,24.002958999999997,1710,2015-01-25 14:00:00
410,2014,4922,Chievo,Chievo,Napoli,14,24,16.093649000000003,26.339169,1800,2015-02-01 14:00:00
439,2014,4936,Chievo,Parma,Chievo,15,26,16.683715000000003,27.909198999999997,1890,2015-02-11 17:00:00
456,2014,4945,Chievo,Chievo,Sampdoria,16,26,18.405745000000003,28.651214999999997,1980,2015-02-15 17:00:00
465,2014,4949,Chievo,Empoli,Chievo,18,27,19.151389,29.490966999999998,2070,2015-02-22 14:00:00
478,2014,4956,Chievo,Chievo,AC Milan,18,30,19.438074,31.662757,2160,2015-02-28 19:45:00
502,2014,4892,Chievo,Chievo,Roma,18,30,19.95093,32.624125,2250,2015-03-08 14:00:00
521,2014,4901,Chievo,Genoa,Chievo,18,30,20.647944,33.347498,2340,2015-03-15 14:00:00
536,2014,4909,Chievo,Chievo,Palermo,20,30,21.931264,34.448328000000004,2430,2015-03-21 17:00:00
571,2014,4836,Chievo,Sassuolo,Chievo,21,30,23.718453999999998,35.707878,2520,2015-04-04 14:00:00
585,2014,4843,Chievo,Cesena,Chievo,21,31,24.353617999999997,37.180228,2610,2015-04-12 11:30:00
606,2014,4854,Chievo,Chievo,Udinese,22,31,26.167927999999996,37.656584,2700,2015-04-19 14:00:00
633,2014,4867,Chievo,Lazio,Chievo,23,32,27.172267999999995,37.880410000000005,2790,2015-04-26 14:00:00
650,2014,4876,Chievo,Chievo,Cagliari,24,33,27.373785999999996,39.7638,2880,2015-04-29 19:45:00
667,2014,4782,Chievo,Inter,Chievo,25,33,28.334513999999995,40.167962,2970,2015-05-03 14:00:00
684,2014,4791,Chievo,Chievo,Verona,25,33,29.194076999999997,41.06327,3060,2015-05-10 11:30:00
713,2014,4805,Chievo,Torino,Chievo,27,35,31.193996999999996,43.138920000000006,3150,2015-05-17 14:00:00
732,2014,4815,Chievo,Chievo,Atalanta,27,37,31.372328999999997,46.019690000000004,3240,2015-05-24 14:00:00
759,2014,4828,Chievo,Fiorentina,Chievo,28,38,32.349919,46.779771000000004,3330,2015-05-31 19:45:00
