,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
5971,2014,4931,1912,Paul-José M&#039;Poku,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6234,2014,4940,1912,Paul-José M&#039;Poku,a,Sub,29.0,1.0,0.0,2.0,1.0,0.0,0.5395734906196594,0.2813956439495086,2.5,1.400116115808487,2.5
6605,2014,4954,1912,Paul-José M&#039;Poku,h,AMC,53.0,1.0,0.0,2.0,1.0,0.0,0.5395734906196594,0.4063046947121619,2.5,1.5250251665711403,0.0
6689,2014,4881,1912,Paul-José M&#039;Poku,h,AMC,143.0,1.0,0.0,5.0,1.0,0.0,0.6408155709505081,0.9617002382874488,2.5,2.3841469511389732,0.0
6927,2014,4889,1912,Paul-José M&#039;Poku,a,FWL,233.0,1.0,0.0,9.0,1.0,0.0,0.8452030718326569,1.4441005662083626,2.5,3.479709781706333,0.0
7220,2014,4900,1912,Paul-José M&#039;Poku,h,FWL,323.0,1.0,0.0,11.0,1.0,0.0,0.9171692505478859,1.5226611495018005,2.5,3.774168901145458,0.0
7514,2014,4910,1912,Paul-José M&#039;Poku,a,FWL,405.0,1.0,0.0,16.0,1.0,0.0,1.4708267822861671,1.5817889459431171,2.5,5.494269292801619,0.0
7806,2014,4831,1912,Paul-José M&#039;Poku,h,FWL,473.0,1.0,0.0,17.0,1.0,0.0,1.4893297292292118,1.5817889459431171,2.5,5.549778133630753,0.0
8072,2014,4840,1912,Paul-José M&#039;Poku,a,FWL,563.0,1.0,0.0,20.0,2.0,0.0,1.6436992920935154,1.5817889459431171,2.0,5.512886822223663,-0.5
8559,2014,4858,1912,Paul-José M&#039;Poku,h,FWL,653.0,1.0,0.0,23.0,2.0,0.0,1.765949573367834,1.7056481428444386,2.0,6.003496862947941,0.0
8877,2014,4869,1912,Paul-José M&#039;Poku,a,AMC,743.0,1.0,0.0,25.0,2.0,0.0,1.814747303724289,1.7056481428444386,2.0,6.149890054017305,0.0
9071,2014,4876,1912,Paul-José M&#039;Poku,a,AMC,833.0,1.0,0.0,26.0,2.0,0.0,1.9199440479278564,2.185223300009966,2.0,6.945055443793535,0.0
9420,2014,4787,1912,Paul-José M&#039;Poku,h,FW,923.0,1.0,0.0,28.0,3.0,0.0,1.9555192738771439,2.263711627572775,1.5,6.6302694492042065,-0.5
9838,2014,4802,1912,Paul-José M&#039;Poku,h,AMC,1005.0,2.0,1.0,31.0,4.0,0.0,2.1033313274383545,2.9501497708261013,5.0,7.260143753141165,3.5
10160,2014,4813,1912,Paul-José M&#039;Poku,a,AMC,1068.0,2.0,1.0,33.0,4.0,0.0,2.1620823480188847,3.4534949623048306,5.0,7.9397420063614845,0.0
10370,2014,4821,1912,Paul-José M&#039;Poku,h,AMC,1156.0,2.0,1.0,35.0,4.0,0.0,2.208106968551874,3.531290601938963,5.0,8.155611507594585,0.0
